"CONTRACT_ID","CONTRACT_LINE_ID","LINE_TYPE","CONTRACT_LINE_NUM","ITEM_ID","CATEGORY_ID","CONTRACT_LINE_DESCRIPTION","UOM","QTY_LIMIT","UNIT_PRICE","SUPPLIER_ITEM_REF","CANCEL_FLAG"
81314,102318,"Goods",1,,36,"A/V Cart for Monitor, Plastic","EA","",149.1,"APO53019","N"
81314,102319,"Goods",2,,36,"Clic Stic Pen, Fine, Blue","EA","",0.72,"BIC90460","N"
81314,102320,"Goods",3,,36,"Clic Stic Pen, Fine, Black","EA","",0.72,"BIC90461","N"
81314,102321,"Goods",4,,36,"Clic Stic Pen, Medium, Blue","EA","",0.72,"BIC90431","N"
81314,102322,"Goods",5,,36,"Clic Stic Pen, Medium, Black","EA","",0.72,"BIC90433","N"
81314,102323,"Goods",6,,36,"Four Color Pen, Medium, Writes in Blue, Black, Red and Green","EA","",2.45,"BIC24623","N"
81314,102324,"Goods",7,,36,"Round Stic Ball Point Pen, Fine, Blue","Dozen","",3.6,"BIC20130","N"
81314,102325,"Goods",8,,36,"Round Stic Ball Point Pen, Fine, Black","Dozen","",3.6,"BIC20129","N"
81314,102326,"Goods",9,,36,"Round Stic Ball Point Pen, Fine, Red","Dozen","",3.6,"BIC20128","N"
81314,102327,"Goods",10,,36,"Round Stic Ball Point Pen, Medium, Blue","Dozen","",3.6,"BIC20120","N"
81314,102328,"Goods",11,,36,"Round Stic Ball Point Pen, Medium, Black","Dozen","",3.6,"BIC20119","N"
81314,102329,"Goods",12,,36,"Round Stic Ball Point Pen, Medium, Red","Dozen","",3.6,"BIC20118","N"
81314,102330,"Goods",13,,36,"Cristal Stic Pen, Blue","EA","",0.37,"BIC10126","N"
81314,102331,"Goods",14,,36,"Cristal Stic Pen, Black","EA","",0.37,"BIC10127","N"
81314,102332,"Goods",15,,36,"Cristal Stic Pen, Red","EA","",0.37,"BIC10128","N"
81314,102333,"Goods",16,,36,"Soft Feel Retractable Pen, Medium, Blue Barrel","EA","",0.88,"BIC91434","N"
81314,102334,"Goods",17,,36,"Soft Feel Retractable Pen, Medium, Black Barrel","EA","",0.88,"BIC91436","N"
81314,102335,"Goods",18,,36,"Soft Feel Retractable Pen, Medium, Red Barrel","EA","",0.88,"BIC91438","N"
81314,102336,"Goods",19,,36,"Soft-Feel Wide-Body Ball Pen, Medium, Blue","EA","",1.15,"BIC13369","N"
81314,102337,"Goods",20,,36,"Soft-Feel Wide-Body Ball Pen, Medium, Black","EA","",1.15,"BIC13368","N"
