"PAYMENT_TERMS_ID","CREATION_DATE","PAYMENT_TERMS","ENABLED_FLAG","DUE_CUTOFF_DAY","DESCRIPTION","TYPE","START_DATE","END_DATE","RANK","ATTRIBUTE_CATEGORY","ATTRIBUTE1","ATTRIBUTE2","ATTRIBUTE3","ATTRIBUTE4","ATTRIBUTE5","ATTRIBUTE6","ATTRIBUTE7","ATTRIBUTE8","ATTRIBUTE9","ATTRIBUTE10","ATTRIBUTE11","ATTRIBUTE12","ATTRIBUTE13","ATTRIBUTE14","ATTRIBUTE15"
10000,"10-NOV-1993","Prepayment Immediate","Y",,"Seeded immediate terms for prepayments - do not update","STD","01-JAN-1900","01-JAN-1900",,"","","","","","","","","","","","","","","",""
10001,"01-NOV-1992","Immediate","Y",,"Scheduled for payment immediately.","STD","01-NOV-1992","",,"","","","","","","","","","","Immediato","Immediat","","Pagamento immediato","immediat",""
10002,"01-NOV-1992","30 Net (terms date + 30)","Y",,"Scheduled for payment 30 days from the invoice date (invoice terms date = system date, goods received date, invoice date or invoice received date). Invoice terms date can default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","30 giorni","30 net","","30 giorni data fattura","30 jours net",""
10003,"01-NOV-1992","45 Net (terms date + 45)","Y",,"Scheduled for payment 45 days from the invoice date (invoice terms date = system date, goods received date, invoice date or invoice received date).  Invoice terms date can  default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","","45 jours","","","45 jours",""
10004,"01-NOV-1992","10 Net (terms date + 10)","Y",,"Scheduled for payment 10 days from the invoice terms date (invoice terms date = system date, goods received date, invoice date or invoice received date).  Invoice terms date can  default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","10 giorni","10 jours net","","10 giorni data fattura","Paiement 10 jours",""
10005,"01-NOV-1992","Paid on 10th, cutoff on 5th (Proxima term)","Y",5,"This is an example of 'Proxima' terms.The cutoff day is 5, invoices rec'd before the 5th are due on the 10th of the current month, if rec'd after the 5th they are scheduled for the 10th of the following month.","STD","01-NOV-1992","",,"","","","","","","","","","","","10 jours le 5","","","10 jours le 5",""
10006,"01-NOV-1992","1000 immediate, Balance 60 days","Y",,"1000 paid immediately and the balance paid in 60 days.Example:invoice for 1100, 1000 paid immediately, 100 paid in 60 days.","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
10007,"01-NOV-1992","2/10 Net 45","Y",,"2% discount deducted if paid within 10 days, the remainder paid 45 days from invoice terms date. (Invoice terms date = system date, goods received date, invoice date or invoice received date).","STD","01-NOV-1992","",,"","","","","","","","","","","","2% 10 jours, 45","","","2% 10 jours, paiement 45 jours",""
10008,"01-NOV-1992","50% immediate, 50% Net 60","Y",,"50% due immediately, 50% is due in 60 days from terms date(invoice terms date = system date, goods received date, invoice date or invoice received date).  Invoice terms date can  default from supplier header, site, PO, system default, etc.","STD","01-NOV-1992","",,"","","","","","","","","","","","50% net, 50% 60 jours","","","50% immediat, 50% 60 jours",""
10009,"01-NOV-1992","4/10, 3/20, 2/30 Net  60","Y",,"Multiple Discount terms, if paid within 10 days a 4% discount is applied, if paid within 11-20 days a 3% discount is applied, if paid within 21-30 days a 2% discount is applied, if paid after 30 days no discount is applied.","STD","01-NOV-1992","",,"","","","","","","","","","","","","","","",""
