"PO_ID","PO_NUMBER","LATEST_REVISION","CANCEL_FLAG","PERSON_ID","SUPPLIER_ID","SUPPLIER_SITE_ID","GEOGRAPHY_ID","CURRENCY_CODE","CURRENCY_RATE_TYPE","CURRENCY_EXCHANGE_DATE","CURRENCY_EXCHANGE_RATE","CREATION_DATE","ORIG_APPROVAL_SUBMIT_DATE","ORIG_APPROVED_DATE","LATEST_APPROVED_DATE","TRANSMISSION_METHOD","PAY_ON_CODE","CREATION_METHOD","PAY_TERMS","PAYMENT_TERMS_ID"
77588,"5303",0,"N",25,145,255,207,"USD","","06-JUN-2013","","06-JUN-2013","06-JUN-2013 10:48","06-JUN-2013 10:49","06-JUN-2013 10:49","MANUAL","RECEIPT","MANUAL","45 Net (terms date + 45)",10003
79714,"5341",0,"N",57,21,41,1997,"USD","","10-JUL-2013","","10-JUL-2013","10-JUL-2013 20:51","10-JUL-2013 20:51","10-JUL-2013 20:51","MANUAL","RECEIPT","MANUAL","2/10 NET 30",10014
80134,"5347",0,"N",57,21,1969,207,"USD","","17-JUL-2013","","17-JUL-2013","17-JUL-2013 11:33","17-JUL-2013 11:33","17-JUL-2013 11:33","MANUAL","","MANUAL","Immediate",10001
80266,"5349",0,"N",31,5,2034,204,"USD","","","","20-JUL-2013","20-JUL-2013 02:03","20-JUL-2013 02:03","20-JUL-2013 02:03","MANUAL","RECEIPT","WORKFLOW","15 Net (terms date + 15)",10013
80566,"5351",0,"N",31,578,1275,204,"USD","","","","26-JUL-2013","26-JUL-2013 02:03","26-JUL-2013 02:03","26-JUL-2013 02:03","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
80116,"5346",0,"N",25,557,1233,204,"USD","","","","17-JUL-2013","17-JUL-2013 02:04","17-JUL-2013 02:04","17-JUL-2013 02:04","MANUAL","RECEIPT","API","45 Net (terms date + 45)",10003
79875,"5344",0,"N",25,9,5972,204,"USD","","12-JUL-2013","","12-JUL-2013","12-JUL-2013 05:29","12-JUL-2013 05:29","12-JUL-2013 05:29","MANUAL","","MANUAL","30 Net (terms date + 30)",10002
80709,"5354",0,"N",13476,9,12,207,"USD","","01-AUG-2013","","01-AUG-2013","01-AUG-2013 15:46","01-AUG-2013 15:46","01-AUG-2013 15:46","MANUAL","RECEIPT","MANUAL","30 Net (terms date + 30)",10002
79665,"5335",0,"N",25,557,1233,204,"USD","","","","10-JUL-2013","10-JUL-2013 02:06","10-JUL-2013 02:06","10-JUL-2013 02:06","B2B","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
79456,"5331",0,"N",25,557,1233,204,"USD","","","","06-JUL-2013","06-JUL-2013 11:42","06-JUL-2013 11:42","06-JUL-2013 11:42","MANUAL","RECEIPT","API","45 Net (terms date + 45)",10003
80605,"5353",0,"N",31,3,2036,204,"USD","","","","27-JUL-2013","27-JUL-2013 02:04","27-JUL-2013 02:04","27-JUL-2013 02:04","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
80831,"5356",0,"N",31,578,1275,204,"USD","","","","03-AUG-2013","03-AUG-2013 02:13","03-AUG-2013 02:13","03-AUG-2013 02:13","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
81054,"5359",0,"N",31,415,1087,204,"USD","","","","08-AUG-2013","08-AUG-2013 02:04","08-AUG-2013 02:04","08-AUG-2013 02:04","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
81625,"5379",0,"N",25,147,2033,204,"USD","","","","07-SEP-2013","20-NOV-2013 06:52","20-NOV-2013 06:52","20-NOV-2013 06:52","MANUAL","RECEIPT","API","45 Net (terms date + 45)",10003
81859,"5387",0,"N",59,537,1193,204,"USD","","11-SEP-2013","","11-SEP-2013","11-SEP-2013 16:03","11-SEP-2013 16:04","11-SEP-2013 16:04","NONE","RECEIPT","AUTOCREATE","45 Net (terms date + 45)",10003
82045,"5391",0,"N",25,557,1233,204,"USD","","14-SEP-2013","","14-SEP-2013","07-DEC-2014 02:22","07-DEC-2014 02:22","07-DEC-2014 02:22","B2B","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
82048,"5394",0,"N",25,415,1087,204,"USD","","14-SEP-2013","","14-SEP-2013","07-DEC-2014 02:23","07-DEC-2014 02:23","07-DEC-2014 02:23","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
82051,"5397",1,"N",25,22,2035,204,"USD","","14-SEP-2013","","14-SEP-2013","14-SEP-2013 04:48","14-SEP-2013 04:48","15-SEP-2013 02:10","MANUAL","RECEIPT","WORKFLOW","4/10, 3/20, 2/30 Net  60",10009
82052,"5398",0,"N",31,147,2033,204,"USD","","14-SEP-2013","","14-SEP-2013","14-SEP-2013 04:48","14-SEP-2013 04:48","14-SEP-2013 04:48","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
82053,"5399",0,"N",31,415,1087,204,"USD","","14-SEP-2013","","14-SEP-2013","14-SEP-2013 04:48","14-SEP-2013 04:48","14-SEP-2013 04:48","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
82059,"5401",0,"N",59,145,255,207,"USD","","","","14-SEP-2013","14-SEP-2013 11:16","14-SEP-2013 11:17","14-SEP-2013 11:17","NONE","RECEIPT","COPY_DOCUMENT","45 Net (terms date + 45)",10003
82079,"5402",0,"N",57,1595,3778,2402,"USD","","14-SEP-2013","","14-SEP-2013","14-SEP-2013 13:06","14-SEP-2013 13:06","14-SEP-2013 13:06","MANUAL","","MANUAL","30 Net (terms date + 30)",10002
82240,"5403",0,"N",25,557,1233,204,"USD","","","","18-SEP-2013","20-NOV-2013 06:48","20-NOV-2013 06:48","20-NOV-2013 06:48","B2B","RECEIPT","API","45 Net (terms date + 45)",10003
81627,"5381",0,"N",25,557,1233,204,"USD","","","","07-SEP-2013","20-NOV-2013 06:51","20-NOV-2013 06:51","20-NOV-2013 06:51","B2B","RECEIPT","API","45 Net (terms date + 45)",10003
81842,"5386",0,"N",59,145,255,207,"USD","","11-SEP-2013","","11-SEP-2013","11-SEP-2013 12:11","11-SEP-2013 12:11","11-SEP-2013 12:11","NONE","RECEIPT","MANUAL","45 Net (terms date + 45)",10003
82293,"5408",0,"N",59,517,1173,207,"USD","","","","19-SEP-2013","19-SEP-2013 11:48","19-SEP-2013 11:48","19-SEP-2013 11:48","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
81839,"5384",0,"N",59,537,1193,204,"USD","","","","11-SEP-2013","11-SEP-2013 11:03","11-SEP-2013 11:03","11-SEP-2013 11:03","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
81257,"5367",0,"N",25,9,12,204,"USD","","","","18-AUG-2013","20-NOV-2013 06:53","20-NOV-2013 06:53","20-NOV-2013 06:53","MANUAL","RECEIPT","API","30 Net (terms date + 30)",10002
85650,"5475",0,"N",57,147,259,207,"USD","","30-NOV-2013","","30-NOV-2013","30-NOV-2013 12:48","30-NOV-2013 12:48","30-NOV-2013 12:48","MANUAL","RECEIPT","MANUAL","2/10 Net 45",10007
81478,"5378",0,"N",25,909,2013,207,"USD","","","","29-AUG-2013","29-AUG-2013 18:27","29-AUG-2013 18:27","29-AUG-2013 18:27","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
81476,"5376",0,"N",59,537,1193,204,"USD","","","","29-AUG-2013","29-AUG-2013 11:44","29-AUG-2013 11:44","29-AUG-2013 11:44","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
81780,"5383",0,"N",25,147,2033,204,"USD","","","","11-SEP-2013","20-NOV-2013 06:51","20-NOV-2013 06:51","20-NOV-2013 06:51","MANUAL","RECEIPT","API","45 Net (terms date + 45)",10003
82356,"5410",2,"N",59,145,255,207,"USD","","20-SEP-2013","","20-SEP-2013","20-SEP-2013 14:12","20-SEP-2013 14:12","20-SEP-2013 14:39","NONE","RECEIPT","MANUAL","45 Net (terms date + 45)",10003
82746,"5418",0,"N",59,145,255,207,"USD","","27-SEP-2013","","27-SEP-2013","27-SEP-2013 11:48","27-SEP-2013 11:48","27-SEP-2013 11:48","NONE","RECEIPT","MANUAL","45 Net (terms date + 45)",10003
84289,"5444",0,"N",31,3,2036,204,"USD","","25-OCT-2013","","25-OCT-2013","25-OCT-2013 05:07","25-OCT-2013 05:07","25-OCT-2013 05:07","MANUAL","RECEIPT","WORKFLOW","45 Net (terms date + 45)",10003
82334,"5409",0,"N",31,5,2034,204,"USD","","20-SEP-2013","","20-SEP-2013","20-SEP-2013 02:16","20-SEP-2013 02:16","20-SEP-2013 02:16","MANUAL","RECEIPT","WORKFLOW","15 Net (terms date + 15)",10013
82605,"5415",0,"N",57,21,41,1997,"USD","","25-SEP-2013","","25-SEP-2013","25-SEP-2013 08:53","25-SEP-2013 08:53","25-SEP-2013 08:53","MANUAL","RECEIPT","MANUAL","2/10 NET 30",10014
