"PO_ACCOUNTING_LINE_ID","PO_SHIPMENT_ID","ACCOUNTING_LINE_NUM","COA_ID","CHARGE_ACCOUNT_ID","QTY","CHARGE_AMOUNT","REQUISITION_REF","DELIVER_TO_GEOGRAPHY_ID","DELIVER_TO_PERSON_ID","EXCHANGE_RATE_DATE","EXCHANGE_RATE","DESTINATION_TYPE","PROJECT_ID","EXPENDITURE_TYPE"
28834,27676,1,1,13401,161,28336,20631,414,57,,,"INVENTORY",,""
28835,27677,1,1,13401,209,0,,414,57,,,"INVENTORY",,""
28836,27678,1,1,13401,201,0,,414,57,,,"INVENTORY",,""
28969,27815,1,1,13401,108,0,,414,57,,,"INVENTORY",,""
20845,19770,1,1,13401,290,51040,13998,414,57,,,"INVENTORY",,""
20636,19561,1,1,13401,130,22880,13832,414,57,,,"INVENTORY",,""
20637,19562,1,1,13401,475,83600,13833,414,57,,,"INVENTORY",,""
20988,19913,1,1,13401,39,6864,14110,414,57,,,"INVENTORY",,""
21569,20474,1,1,13401,121,21296,14605,414,57,,,"INVENTORY",,""
21974,20879,1,1,13401,136,23936,14944,414,57,,,"INVENTORY",,""
21975,20880,1,1,13401,200,35200,14945,414,57,,,"INVENTORY",,""
21976,20881,1,1,13401,210,36960,14946,414,57,,,"INVENTORY",,""
21717,20622,1,1,13401,200,35200,14714,414,57,,,"INVENTORY",,""
22036,20941,1,1,13401,54,9504,14961,414,57,,,"INVENTORY",,""
22037,20942,1,1,13401,282,49632,14962,414,57,,,"INVENTORY",,""
22038,20943,1,1,13401,210,36960,14963,414,57,,,"INVENTORY",,""
22156,21061,1,1,13401,69,12144,15074,414,57,,,"INVENTORY",,""
22157,21062,1,1,13401,113,19888,15075,414,57,,,"INVENTORY",,""
29244,28086,1,1,13401,42,0,,414,57,,,"INVENTORY",,""
28572,27414,1,1,13401,242,42592,20351,414,57,,,"INVENTORY",,""
22525,21427,1,1,13401,161,28336,15311,414,57,,,"INVENTORY",,""
22815,21697,1,1,13401,210,36960,15571,414,57,,,"INVENTORY",,""
22816,21698,1,1,13401,366,64416,15572,414,57,,,"INVENTORY",,""
29100,27946,1,1,13401,33,0,,414,57,,,"INVENTORY",,""
23385,22267,1,1,13401,259,45584,15977,414,57,,,"INVENTORY",,""
23448,22330,1,1,13401,170,29920,16017,414,57,,,"INVENTORY",,""
29309,28151,1,1,13401,15,0,,414,57,,,"INVENTORY",,""
25447,24322,1,1,13401,102,17952,17716,414,57,,,"INVENTORY",,""
25448,24323,1,1,13401,240,42240,17717,414,57,,,"INVENTORY",,""
25546,24459,1,1,13401,309,54384,18129,414,57,,,"INVENTORY",,""
25547,24460,1,1,13401,113,19888,18130,414,57,,,"INVENTORY",,""
25548,24461,1,1,13401,181,31856,18131,414,57,,,"INVENTORY",,""
26343,25226,1,1,13401,1,176,18608,414,57,,,"INVENTORY",,""
26344,25227,1,1,13401,161,28336,18607,414,57,,,"INVENTORY",,""
26183,25046,1,1,13401,344,60544,18408,414,57,,,"INVENTORY",,""
26952,25814,1,1,13401,42,7392,19159,414,57,,,"INVENTORY",,""
26584,25467,1,1,13401,8,1408,18789,414,57,,,"INVENTORY",,""
26740,25623,1,1,13401,42,7392,18968,414,57,,,"INVENTORY",,""
26741,25624,1,1,13401,209,36784,18969,414,57,,,"INVENTORY",,""
28675,27517,1,1,13401,344,60544,20494,414,57,,,"INVENTORY",,""
28676,27518,1,1,13401,161,28336,20495,414,57,,,"INVENTORY",,""
28677,27519,1,1,13401,209,0,,414,57,,,"INVENTORY",,""
30146,28983,1,1,13401,109,19184,21988,414,57,,,"INVENTORY",,""
30147,28984,1,1,13401,213,37488,21989,414,57,,,"INVENTORY",,""
30148,28985,1,1,13401,142,24992,21990,414,57,,,"INVENTORY",,""
30470,29287,1,1,13401,50,8800,22254,414,57,,,"INVENTORY",,""
30568,29385,1,1,13401,121,21296,22382,414,57,,,"INVENTORY",,""
30753,29570,1,1,13401,36,6336,22534,414,57,,,"INVENTORY",,""
30271,29108,1,1,13401,46,8096,22119,414,57,,,"INVENTORY",,""
30272,29109,1,1,13401,213,37488,22120,414,57,,,"INVENTORY",,""
31205,30014,1,1,13401,30,0,,414,57,,,"INVENTORY",,""
30871,29688,1,1,13401,26,4576,22665,414,57,,,"INVENTORY",,""
30872,29689,1,1,13401,36,6336,22666,414,57,,,"INVENTORY",,""
30873,29690,1,1,13401,109,0,,414,57,,,"INVENTORY",,""
31047,29864,1,1,13401,24,0,,414,57,,,"INVENTORY",,""
31310,30119,1,1,13401,122,21472,23083,414,57,,,"INVENTORY",,""
31534,30345,1,1,13401,60,10560,23292,414,57,,,"INVENTORY",,""
31535,30346,1,1,13401,4,704,23293,414,57,,,"INVENTORY",,""
31825,30636,1,1,13401,126,22176,23538,414,57,,,"INVENTORY",,""
31941,30751,1,1,13401,85,14960,23659,414,57,,,"INVENTORY",,""
31942,30752,1,1,13401,12,2112,23660,414,57,,,"INVENTORY",,""
31692,30503,1,1,13401,26,4576,23428,414,57,,,"INVENTORY",,""
31693,30504,1,1,13401,4,704,23429,414,57,,,"INVENTORY",,""
31694,30505,1,1,13401,31,5456,23430,414,57,,,"INVENTORY",,""
32108,30918,1,1,13401,4,704,23842,414,57,,,"INVENTORY",,""
32109,30919,1,1,13401,83,14608,23843,414,57,,,"INVENTORY",,""
32286,31096,1,1,13401,133,23408,23972,414,57,,,"INVENTORY",,""
32444,31234,1,1,13401,95,16720,24147,414,57,,,"INVENTORY",,""
32445,31235,1,1,13401,12,2112,24148,414,57,,,"INVENTORY",,""
