"PO_ID","LINE_ID","LINE_TYPE","ITEM_ID","CATEGORY_ID","LINE_DESCRIPTION","CANCEL_FLAG","UOM","AMOUNT","QTY","CONTRACT_ID","CONTRACT_LINE_ID","CONTRACT_PRICE_BREAK","SUPPLIER_ITEM_NUMBER"
77588,97183,"Goods",45382,1,"Sentinel Standard Desktop - TP","N","Each",2220,2,,,,""
79714,99958,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",249.5,10,,,,""
79714,99959,"Goods",2376,1,"Envoy Upgrade Software","N","Each",247.5,50,,,,""
79714,99960,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",497.5,50,,,,""
79714,99961,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",199,20,,,,""
79714,99962,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",249.5,10,,,,""
79714,99963,"Goods",2376,1,"Envoy Upgrade Software","N","Each",247.5,50,,,,""
79714,99964,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",497.5,50,,,,""
79714,99965,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",199,20,,,,""
80134,100498,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
80266,100650,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",23030,47,,,,""
80566,101090,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",304200,11.7,,,,""
80116,100495,"Goods",,1,"Toshiba Laptop","N","Each",2982,1,,,,""
79875,100139,"Amount Based",,1,"Hours","N","Dollars",3,3,,,,""
80709,101273,"Goods",33374,1,"HP ProLiant DL740 - Xeon MP 3 GHz","N","Each",1500,1,,,,""
79665,99873,"Goods",5728,1354,"Weekly Warehousing","N","Week",390000,15.6,,,,""
79456,99557,"Goods",,1,"Dell Desktop","N","Each",3045,1,,,,""
80605,101129,"Goods",5734,30,"18"" LCD Flat Panel Monitor","N","Each",52195,55,,,,""
80831,101455,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",101400,3.9,,,,""
81054,101758,"Goods",5372,1353,"Advertising Services","N","HRS",62400,156,,,,""
81625,104639,"Goods",,1,"Company Car","N","Each",36805,1,,,,""
81859,104982,"Goods",8269,1,"DVD Burner 8X","N","Each",500,1,,,,""
81859,104984,"Goods",8321,36,"DVD","N","Each",30,1,,,,""
82045,105179,"Goods",5728,1354,"Weekly Warehousing","N","Week",460000,18.4,,,,""
82048,105184,"Goods",5560,1353,"Legal Services","N","HRS",95850,213,,,,""
82051,105187,"Goods",75,36,"Paper - requires 2-way match office supply item","N","Each",13600,272,,,,""
82052,105188,"Goods",5732,21,"File Cabinets -  5 Drawer Lateral (Capitalizable)","N","Each",40500,27,,,,""
82053,105189,"Goods",5372,1353,"Advertising Services","N","HRS",72800,182,,,,""
82059,105202,"Fixed Price Services",,3117,"Conference Room 5B Remodel","N","Currency",10000,1,,,,""
82079,105222,"Goods",4604,1,"56 kv V.90 Fax Modem (Internal)","N","Each",1164,24,,,,""
82240,105430,"Goods",,1,"Toshiba Laptop","N","Each",3061,1,,,,""
81627,104641,"Goods",,1,"Dell Desktop","N","Each",3125,1,,,,""
81842,104964,"Goods",628,1,"Envoy Deluxe Laptop","N","Each",17870.85,25,,,,""
82293,105519,"Goods",,37,"Little Giant Carpet Cleaner Pump, 1/11 horsepower, 9000 RPM, 115 volts, 60 Hertz","N","EA",26685,300,81315,103828,,"2P018"
81839,104962,"Goods",,36,"Stop-Step 4-Step Ladder with Right Handrail, 27 inch Top Step, 23-3/4 inch x 33-1/2 inch x 40-3/4 inch","N","EA",1286,2,81314,103030,,"CRA14122"
81257,102089,"Goods",,1,"Software","N","EA",873,1,,,,""
85650,138707,"Goods",2912,114,"Desk Stand Legs - Oak","N","Each",1875,500,,,,""
81478,104336,"Goods",,36,"MYOB PLUS / ACCOUNT EDGE ADDT LU LICENSE MAC/95+","N","Each",129.14,1,,,,"155229"
81476,104334,"Goods",,36,"Stop-Step 4-Step Ladder with Right Handrail, 27 inch Top Step, 23-3/4 inch x 33-1/2 inch x 40-3/4 inch","N","EA",643,1,81314,103030,,"CRA14122"
81780,104903,"Goods",,1,"Company Car","N","Each",35588,1,,,,""
82356,105601,"Fixed Price Services",,113,"Develop Prototype software RE1435","N","Currency",10000,1,,,,""
82746,128678,"Goods",628,1,"Envoy Deluxe Laptop","N","Each",17870.85,25,,,,""
84289,135527,"Goods",5734,30,"18"" LCD Flat Panel Monitor","N","Each",55991,59,,,,""
82334,105577,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",26950,55,,,,""
82605,110517,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",270,10,,,,""
82605,110518,"Goods",2376,1,"Envoy Upgrade Software","N","Each",300,50,,,,""
82605,110519,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",600,50,,,,""
82605,110520,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",240,20,,,,""
82605,110521,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",270,10,,,,""
82605,110522,"Goods",2376,1,"Envoy Upgrade Software","N","Each",300,50,,,,""
82605,110523,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",600,50,,,,""
82605,110524,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",360,30,,,,""
82906,129639,"Goods",8269,1,"DVD Burner 8X","N","Each",500,1,,,,""
82906,129640,"Goods",8321,36,"DVD","N","Each",30,1,,,,""
82524,105812,"Goods",,36,"First Aid Station","N","EA",1799,20,81314,102625,,"ACM60003"
83763,133524,"Goods",,1,"Company Car","N","Each",35499,1,,,,""
84408,135646,"Goods",,36,"Delivery","N","Each",25,1,,,,"Delivery"
84408,135647,"Goods",,36,"Dell OptiPlex? 210L Desktop","N","Each",554,1,,,,"68155"
83313,131728,"Goods",,1,"Company Car","N","Each",36714,1,,,,""
83963,133864,"Goods",,1,"Toshiba Laptop","N","Each",3053,1,,,,""
83603,133262,"Goods",,1,"Dell Desktop","N","Each",3118,1,,,,""
84589,135986,"Goods",,1,"Company Car","N","Each",35019,1,,,,""
83312,131727,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",109200,4.2,,,,""
84667,136153,"Goods",,1,"Dell Desktop","N","Each",2974,1,,,,""
83125,131418,"Goods",4818,30,"LCD Display","N","Each",19424,4856,,,,""
83125,131419,"Goods",4830,32,"PCB - Main","N","Each",25670,5134,,,,""
83125,131420,"Goods",159,35,"Resin","N","POUND",6900,10000,,,,""
83125,131421,"Goods",62460,35,"Plastic Stock - Bronze","N","Pounds",5720.52,10036,,,,""
83125,131422,"Goods",62463,35,"Plastic Stock - Silver","N","Pounds",5733.06,10058,,,,""
83125,131423,"Goods",62469,35,"Plastic Stock - Gold","N","Pounds",8487,12300,,,,""
83687,133348,"Goods",5732,21,"File Cabinets -  5 Drawer Lateral (Capitalizable)","N","Each",40500,27,,,,""
83456,133031,"Goods",,1,"Software","N","EA",839,1,,,,""
84113,135296,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",24990,51,,,,""
85630,138687,"Goods",174779,3124,"Head Light for Vehicle","N","Each",2500,100,,,,""
85590,138647,"Goods",5560,1353,"Legal Services","N","HRS",94500,210,,,,""
85711,138808,"Goods",63475,31,"Hard Drive - A series","N","Each",4300,100,,,,""
85711,138809,"Goods",63476,31,"Hard Drive - B series","N","Each",5000,100,,,,""
85063,137823,"Goods",,36,"Sharpie 30174 Permanent Marker Set of 4 (Red, Blue, Green, Black)","N","EA",159.5,50,81215,101977,,"30174"
85541,138589,"Goods",5734,30,"18"" LCD Flat Panel Monitor","N","Each",51246,54,,,,""
84918,137696,"Goods",,1,"Company Car","N","Each",33860,1,,,,""
85754,138891,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",106600,4.1,,,,""
86017,139365,"Goods",,1,"Dell Desktop","N","Each",3080,1,,,,""
85828,139067,"Goods",,1,"Software","N","EA",828,1,,,,""
86174,139565,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",260,10,,,,""
86174,139566,"Goods",2376,1,"Envoy Upgrade Software","N","Each",300,50,,,,""
86174,139567,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",550,50,,,,""
86174,139568,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",110,10,,,,""
86174,139569,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",260,10,,,,""
86174,139570,"Goods",2376,1,"Envoy Upgrade Software","N","Each",300,50,,,,""
86174,139571,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",550,50,,,,""
86174,139572,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",110,10,,,,""
85350,138301,"Goods",75,36,"Paper - requires 2-way match office supply item","N","Each",13550,271,,,,""
86137,139488,"Goods",71,21,"Desk - Capitalizable, taxable item","N","Each",92500,37,,,,""
86240,139680,"Goods",,1,"Company Car","N","Each",35066,1,,,,""
87749,141780,"Goods",,1,"Toshiba Laptop","N","Each",2947,1,,,,""
87881,141977,"Goods",138725,32,"Power Relay","N","Each",3450,1000,,,,""
88103,142245,"Goods",174763,3097,"Body Casting, Shutter Unit","N","Each",12500,500,,,,""
88103,142246,"Goods",174764,3097,"CCD for 5 Megapixel Digital Camera","N","Each",10500,500,,,,""
88103,142247,"Goods",174765,3097,"Motor Rotation Reducing Base Plate","N","Each",20500,500,,,,""
88103,142248,"Goods",174766,3097,"AF Drive Unit","N","Each",20000,500,,,,""
88103,142249,"Goods",174767,3097,"Lens for Digital Camera","N","Each",19500,500,,,,""
87539,141568,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",1014000,39,,,,""
87128,140821,"Goods",8269,1,"DVD Burner 8X","N","Each",500,1,,,,""
87128,140822,"Goods",8321,36,"DVD","N","Each",30,1,,,,""
87143,140868,"Goods",,1,"File Folders","N","EA",19,19,81215,101980,,"FF100"
87205,141010,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",230,10,,,,""
87205,141011,"Goods",2376,1,"Envoy Upgrade Software","N","Each",200,50,,,,""
87205,141012,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",400,50,,,,""
87205,141013,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",90,10,,,,""
87205,141014,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",230,10,,,,""
87205,141015,"Goods",2376,1,"Envoy Upgrade Software","N","Each",200,50,,,,""
87205,141016,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",400,50,,,,""
87205,141017,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",90,10,,,,""
87341,141279,"Rate Based Temp Labor",,2662,"Temporary Business Consultant in Vision Corp","N","Hour",1200,1,38375,46140,,""
87291,141226,"Goods",5372,1353,"Advertising Services","N","HRS",124800,312,,,,""
87296,141231,"Goods",5560,1353,"Legal Services","N","HRS",102150,227,,,,""
87297,141232,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",533000,20.5,,,,""
87297,141233,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",319800,12.3,,,,""
87297,141234,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",202800,7.8,,,,""
87298,141235,"Goods",5728,1354,"Weekly Warehousing","N","Week",780000,31.2,,,,""
87211,141023,"Goods",,36,"Stop-Step 3-Step Ladder, 27 cm Top Step, 21 cm x 26-3/4 cm x 31-3/4 cm","N","EA",428,1,83988,134239,,"CRA13002"
87882,141978,"Goods",138723,32,"12X DIP Switch","N","Each",17850,3500,,,,""
87981,142117,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
87744,141775,"Goods",,1,"Dell Desktop","N","Each",3009,1,,,,""
88431,142641,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",197600,7.6,,,,""
88553,142783,"Goods",5552,1353,"Public Relations Services","N","HRS",980000,2800,,,,""
88653,142903,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
89777,144414,"Goods",,1,"Printers","N","Each",20000,5,,,,""
89115,143509,"Goods",,1,"Toshiba Laptop","N","Each",2936,1,,,,""
88798,143130,"Goods",5728,1354,"Weekly Warehousing","N","Week",760000,30.4,,,,""
88799,143131,"Goods",,1,"Company Car","N","Each",34135,1,,,,""
89878,144515,"Goods",5560,1353,"Legal Services","N","HRS",188100,418,,,,""
88188,142350,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
89436,143988,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",988000,38,,,,""
88974,143326,"Goods",,1,"Software","N","EA",858,1,,,,""
88432,142642,"Goods",,1,"Software","N","EA",806,1,,,,""
89881,144518,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",592800,22.8,,,,""
90162,145059,"Goods",,1,"Company Car","N","Each",34215,1,,,,""
90067,144764,"Goods",628,1,"Envoy Deluxe Laptop","N","Each",55042.218,77,,,,""
90165,145062,"Goods",,1,"Toshiba Laptop","N","Each",2943,1,,,,""
90069,144766,"Goods",628,1,"Envoy Deluxe Laptop","N","Each",56471.886,79,,,,""
90045,144742,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
90065,144762,"Goods",628,1,"Envoy Deluxe Laptop","N","Each",53612.55,75,,,,""
90066,144763,"Goods",628,1,"Envoy Deluxe Laptop","N","Each",54327.384,76,,,,""
90025,144722,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",252.5,10,,,,""
90025,144723,"Goods",2376,1,"Envoy Upgrade Software","N","Each",262.5,50,,,,""
90025,144724,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",512.5,50,,,,""
90025,144725,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",205,20,,,,""
90025,144726,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",252.5,10,,,,""
90025,144727,"Goods",2376,1,"Envoy Upgrade Software","N","Each",262.5,50,,,,""
90025,144728,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",512.5,50,,,,""
90025,144729,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",205,20,,,,""
90669,146044,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
90718,146104,"Goods",,1,"Company Car","N","Each",36915,1,,,,""
91382,147157,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",260,10,,,,""
91382,147158,"Goods",2376,1,"Envoy Upgrade Software","N","Each",300,50,,,,""
91382,147159,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",550,50,,,,""
91382,147160,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",220,20,,,,""
91382,147161,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",260,10,,,,""
91382,147162,"Goods",2376,1,"Envoy Upgrade Software","N","Each",300,50,,,,""
91382,147163,"Goods",2378,1,"Envoy Upgrade Manual","N","Each",550,50,,,,""
91382,147164,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",220,20,,,,""
91401,147169,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
91683,147499,"Goods",5734,30,"18"" LCD Flat Panel Monitor","N","Each",110084,116,,,,""
90758,146144,"Goods",,1,"Dell Desktop","N","Each",3135,1,,,,""
91242,146844,"Goods",,1,"Software","N","EA",897,1,,,,""
92017,147961,"Goods",,1,"Toshiba Laptop","N","Each",2463,1,,,,""
90536,145737,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",546000,21,,,,""
91262,147010,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",1066000,41,,,,""
90903,146398,"Goods",5728,1354,"Weekly Warehousing","N","Week",820000,32.8,,,,""
91601,147416,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
92097,148081,"Goods",5728,1354,"Weekly Warehousing","N","Week",682500,27.3,,,,""
90658,145944,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",213200,8.2,,,,""
90698,146084,"Goods",5552,1353,"Public Relations Services","N","HRS",1058400,3024,,,,""
91381,147149,"Goods",2370,1,"Envoy Upgrade Board (Raw)","Y","Each",0,0,,,,""
91381,147150,"Goods",2376,1,"Envoy Upgrade Software","Y","Each",0,0,,,,""
91381,147151,"Goods",2378,1,"Envoy Upgrade Manual","Y","Each",0,0,,,,""
91381,147152,"Goods",2372,1,"Envoy Upgrade Switch","Y","Each",0,0,,,,""
91381,147153,"Goods",2370,1,"Envoy Upgrade Board (Raw)","Y","Each",0,0,,,,""
91381,147155,"Goods",2376,1,"Envoy Upgrade Software","Y","Each",0,0,,,,""
91381,147154,"Goods",2378,1,"Envoy Upgrade Manual","Y","Each",0,0,,,,""
91381,147156,"Goods",2372,1,"Envoy Upgrade Switch","Y","Each",0,0,,,,""
92949,149344,"Goods",,1,"Company Car","N","Each",37211,1,,,,""
93094,149563,"Goods",,1,"Software","N","EA",850,1,,,,""
92971,149382,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
93116,149609,"Goods",,1,"Toshiba Laptop","N","Each",2615,1,,,,""
92819,149168,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
93518,150252,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",468000,18,,,,""
93237,149830,"Goods",71,21,"Desk - Capitalizable, taxable item","N","Each",95000,38,,,,""
92779,149088,"Goods",24308,2757,"DDR400 DIMM Memory - 184 Pin","N","Each",15000,100,,,,""
93239,149832,"Goods",,1,"Company Car","N","Each",35980,1,,,,""
92528,148772,"Goods",5730,1354,"Cleaning and Maintenance - Weekly","N","Week",507000,19.5,,,,""
92319,148433,"Goods",,1,"Toshiba Laptop","N","Each",2914,1,,,,""
92593,148837,"Goods",73,36,"Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset)","N","Each",46060,94,,,,""
92277,148361,"Goods",2370,1,"Envoy Upgrade Board (Raw)","N","Each",250,10,,,,""
92277,148362,"Goods",2372,1,"Envoy Upgrade Switch","N","Each",200,20,,,,""
92277,148363,"Goods",2376,1,"Envoy Upgrade Software","N","Each",250,50,,,,""
