"INVOICE_ACCOUNTING_ID","INVOICE_ID","INVOICE_LINE_NUMBER","ACCOUNTING_LINE_NUMBER","CHARGE_DATE","COA_ACCOUNT_ID","LINE_TYPE","CURRENCY_AMOUNT","EXCHANGE_RATE_DATE","EXCHANGE_RATE","CURRENCY_RATE_TYPE","AMOUNT","CANCEL_FLAG","BASE_IPV","EXCHANGE_RATE_VARIANCE","CURRENCY_IPV","QUANTITY_VARIANCE","BASE_QUANTITY_VARIANCE","AMOUNT_VARIANCE","BASE_AMOUNT_VARIANCE","DESCRIPTION","MATCHED_PO_ACCOUNTING_ID","MATCHED_RECEIPT_LINE_ID","IS_REVERSED","PARENT_REVERSAL_ID","CORRECTED_INVOICE_DIST_ID","CHARGE_APPLICABLE_TO_DIST_ID","CORRECTED_QUANTITY","PROJECT_ID"
615335,152927,1,1,"05-JUL-2013",13155,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615336,152927,2,1,"05-JUL-2013",13156,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615337,152927,3,1,"05-JUL-2013",13157,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615338,152927,4,1,"05-JUL-2013",13593,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615339,152927,5,1,"05-JUL-2013",13592,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615340,152927,6,1,"05-JUL-2013",13159,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615341,152927,7,1,"05-JUL-2013",13160,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615342,152927,8,1,"05-JUL-2013",82247,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615343,152927,9,1,"05-JUL-2013",13161,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615344,152927,10,1,"05-JUL-2013",13162,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615345,152927,11,1,"05-JUL-2013",13163,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615346,152927,12,1,"05-JUL-2013",13164,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615347,152927,13,1,"05-JUL-2013",13165,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615348,152927,14,1,"05-JUL-2013",13166,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615349,152927,15,1,"05-JUL-2013",13167,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615350,152927,16,1,"05-JUL-2013",13168,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615351,152927,17,1,"05-JUL-2013",13169,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615352,152927,18,1,"05-JUL-2013",13170,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615353,152927,19,1,"05-JUL-2013",13171,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615354,152927,20,1,"05-JUL-2013",13172,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615355,152927,21,1,"05-JUL-2013",82248,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615356,152927,22,1,"05-JUL-2013",99058,"ITEM",1350.6,,,"",,"N",,,,,,,,"",,,"N",,,,,
615357,152927,23,1,"05-JUL-2013",82246,"ITEM",900.4,,,"",,"N",,,,,,,,"",,,"N",,,,,
615358,152927,24,1,"05-JUL-2013",99056,"ITEM",675.3,,,"",,"N",,,,,,,,"",,,"N",,,,,
615359,152927,25,1,"05-JUL-2013",99057,"ITEM",675.3,,,"",,"N",,,,,,,,"",,,"N",,,,,
