"ACCOUNT_ID","COA_ID","ACCOUNT_TYPE","IS_ENABLED","IS_PARENT","START_DATE","END_DATE","DESCRIPTION","SEGMENT1","SEGMENT2","SEGMENT3","SEGMENT4","SEGMENT5","SEGMENT6","SEGMENT7","SEGMENT8","SEGMENT9","SEGMENT10","ATTRIBUTE1","ATTRIBUTE2","ATTRIBUTE3","ATTRIBUTE4","ATTRIBUTE5","ATTRIBUTE6","ATTRIBUTE7","ATTRIBUTE8","ATTRIBUTE9","ATTRIBUTE10","REFERENCE1","REFERENCE2","REFERENCE3","REFERENCE4"
17021,101,"E","Y","N",,,"","01","520","5250","0000","000","","","","","","","","","","","","","","","","","","N",""
16902,101,"A","Y","N",,,"","01","510","1590","0000","000","","","","","","","","","","","","","","","","","","N",""
16953,101,"E","Y","N",,,"","01","740","7330","0000","000","","","","","","","","","","","","","","","","","","N",""
16956,101,"E","Y","N",,,"","01","440","7350","0000","000","","","","","","","","","","","","","","","","","","N",""
16961,101,"A","Y","N",,,"","01","CEO","1550","0000","000","","","","","","","","","","","","","","","","","","N",""
16883,101,"E","Y","N",,,"","01","530","5370","0000","000","","","","","","","","","","","","","","","","","","N",""
16884,101,"E","Y","N",,,"","01","530","5260","0000","000","","","","","","","","","","","","","","","","","","N",""
16887,101,"E","Y","N",,,"","01","540","5390","0000","000","","","","","","","","","","","","","","","","","","N",""
16781,101,"R","Y","N",,,"","01","740","4110","0000","000","","","","","","","","","","","","","","","","","","N",""
16802,101,"E","Y","N",,,"","01","540","5380","0000","000","","","","","","","","","","","","","","","","","","N",""
16402,101,"A","Y","N",,,"","01","000","1000","0000","000","","","","","","","","","","","","","","","","","","N",""
16267,101,"E","Y","N",,,"","01","550","5290","0000","000","","","","","","","","","","","","","","","","","","N",""
16268,101,"E","Y","N",,,"","01","550","5210","0000","000","","","","","","","","","","","","","","","","","","N",""
16269,101,"E","Y","N",,,"","01","550","5220","0000","000","","","","","","","","","","","","","","","","","","N",""
16296,101,"E","Y","N",,,"","01","530","5380","0000","000","","","","","","","","","","","","","","","","","","N",""
16297,101,"R","Y","N",,,"","01","110","4150","0000","000","","","","","","","","","","","","","","","","","","N",""
15861,101,"L","Y","N",,,"","01","000","2440","0000","000","","","","","","","","","","","","","","","","","","N",""
15634,101,"E","Y","N",,,"","01","110","9110","0000","000","","","","","","","","","","","","","","","","","","N",""
15637,101,"E","Y","N",,,"","01","140","9110","0000","000","","","","","","","","","","","","","","","","","","N",""
15640,101,"E","Y","N",,,"","02","120","9110","0000","000","","","","","","","","","","","","","","","","","","N",""
15643,101,"E","Y","N",,,"","02","402","9110","0000","000","","","","","","","","","","","","","","","","","","N",""
15461,101,"A","Y","N",,,"","01","480","1660","0000","000","","","","","","","","","","","","","","","","","","N",""
15463,101,"E","Y","N",,,"","01","480","7851","0000","000","","","","","","","","","","","","","","","","","","N",""
15466,101,"E","Y","N",,,"","01","720","7340","0000","000","","","","","","","","","","","","","","","","","","N",""
15467,101,"A","Y","N",,,"","01","110","1540","0000","000","","","","","","","","","","","","","","","","","","N",""
15470,101,"A","Y","N",,,"","01","720","1640","0000","000","","","","","","","","","","","","","","","","","","N",""
15476,101,"A","Y","N",,,"","01","560","1650","0000","000","","","","","","","","","","","","","","","","","","N",""
15477,101,"A","Y","N",,,"","01","520","1630","0000","000","","","","","","","","","","","","","","","","","","N",""
15338,101,"A","Y","N",,,"","01","000","1430","0000","000","","","","","","","","","","","","","","","","","","N",""
15339,101,"A","Y","N",,,"","01","000","1440","0000","000","","","","","","","","","","","","","","","","","","N",""
15340,101,"E","Y","N",,,"","01","460","7350","0000","000","","","","","","","","","","","","","","","","","","N",""
15343,101,"E","Y","N",,,"","01","520","5370","0000","000","","","","","","","","","","","","","","","","","","N",""
