"INVOICE_ID","LINE_NUMBER","LINE_TYPE","LINE_DESCRIPTION","ITEM_ID","CHARGE_DATE","MATCH_TYPE","CURRENCY_AMOUNT","AMOUNT","UNIT_PRICE","QTY","UOM_NAME","CANCEL_FLAG","MATCHED_PO_ID","MATCHED_PO_LINE_ID","MATCHED_PO_RELEASE_ID","MATCHED_PO_SHIPMENT_ID","MATCHED_PO_ACCOUNTING_ID","MATCHED_RECEIPT_LINE_ID","IS_ASSET","GEOGRAPHY_ID","PROJECT_ID"
152927,1,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,2,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,3,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,4,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,5,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,6,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,7,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,8,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,9,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,10,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,11,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,12,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,13,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,14,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,15,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
152927,16,"ITEM","",,"05-JUL-2013","NONE",900.4,,,,"","N",,,,,,,"N",,
