"INVOICE_ID","CREATION_DATE","SUPPLIER_ID","SUPPLIER_SITE_ID","INVOICE_NUMBER","CANCEL_FLAG","DESCRIPTION","DOCUMENT_TYPE","PAY_TERMS","PAYMENT_TERMS_ID","PAYMENT_DUE_DATE","INVOICE_DATE","CURRENCY_CODE","EXCHANGE_RATE_DATE","EXCHANGE_RATE","CURRENCY_RATE_TYPE","INVOICE_CURRENCY_AMOUNT","PAY_CURRENCY_CODE","INVOICE_AMOUNT","CREATION_METHOD","INVOICE_TYPE","INVOICE_SUB_TYPE","APPROVAL_REQUIRED","PAYMENT_TYPE","PAY_GROUP","INVOICE_RECEIVED_DATE"
152927,"05-JUL-2013",9,12,"OSI070506","N","","","Immediate",10001,"05-JUL-2013","05-JUL-2013","USD",,,"",22510,"USD",22510,"EXTERNAL","STANDARD","EXTERNAL","N","EFT","STANDARD",""
154112,"14-JUL-2013",557,1233,"ERS-8038-117533","N","Receipt Invoice automatically created on 14-JUL-06","","45 Net (terms date + 45)",10003,"14-JUL-2013","14-JUL-2013","USD",,,"",483,"USD",483,"ERS","STANDARD","ERS","N","EFT","STANDARD","14-JUL-2013 00:00"
153852,"12-JUL-2013",5,6,"ERS-23293-117270","N","Receipt Invoice automatically created on 12-JUL-06","","2/10 NET 30",10014,"12-JUL-2013","12-JUL-2013","USD",,,"",1393.65,"USD",1393.65,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153869,"12-JUL-2013",21,41,"ERS-23310-117287","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",39120,"USD",39120,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153839,"12-JUL-2013",147,259,"ERS-23280-117257","N","Receipt Invoice automatically created on 12-JUL-06","","45 Net (terms date + 45)",10003,"12-JUL-2013","12-JUL-2013","USD",,,"",160266.75,"USD",160266.75,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153893,"12-JUL-2013",11,15,"ERS-11754-117311","N","Receipt Invoice automatically created on 12-JUL-06","","2/10 Net 45",10007,"12-JUL-2013","12-JUL-2013","USD",,,"",53246.92,"USD",53246.92,"ERS","STANDARD","ERS","N","EFT","EDI","12-JUL-2013 00:00"
153894,"12-JUL-2013",147,259,"ERS-11755-117312","N","Receipt Invoice automatically created on 12-JUL-06","","45 Net (terms date + 45)",10003,"12-JUL-2013","12-JUL-2013","USD",,,"",904.32,"USD",904.32,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153898,"12-JUL-2013",22,42,"ERS-11759-117316","N","Receipt Invoice automatically created on 12-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"12-JUL-2013","12-JUL-2013","USD",,,"",335.98,"USD",335.98,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153929,"12-JUL-2013",5,6,"ERS-11790-117347","N","Receipt Invoice automatically created on 12-JUL-06","","2/10 NET 30",10014,"12-JUL-2013","12-JUL-2013","USD",,,"",374.49,"USD",374.49,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153949,"12-JUL-2013",21,41,"ERS-11810-117367","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",13691.76,"USD",13691.76,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153833,"12-JUL-2013",21,41,"ERS-23276-117251","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",1225.5,"USD",1225.5,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153858,"12-JUL-2013",147,259,"ERS-23299-117276","N","Receipt Invoice automatically created on 12-JUL-06","","45 Net (terms date + 45)",10003,"12-JUL-2013","12-JUL-2013","USD",,,"",552.25,"USD",552.25,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153877,"12-JUL-2013",11,15,"ERS-23318-117295","N","Receipt Invoice automatically created on 12-JUL-06","","2/10 Net 45",10007,"12-JUL-2013","12-JUL-2013","USD",,,"",171.15,"USD",171.15,"ERS","STANDARD","ERS","N","EFT","EDI","12-JUL-2013 00:00"
153916,"12-JUL-2013",22,42,"ERS-11777-117334","N","Receipt Invoice automatically created on 12-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"12-JUL-2013","12-JUL-2013","USD",,,"",1769.16,"USD",1769.16,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153939,"12-JUL-2013",21,41,"ERS-11800-117357","N","Receipt Invoice automatically created on 12-JUL-06","","Immediate",10001,"12-JUL-2013","12-JUL-2013","USD",,,"",1008.9,"USD",1008.9,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
153900,"12-JUL-2013",22,42,"ERS-11761-117318","N","Receipt Invoice automatically created on 12-JUL-06","","4/10, 3/20, 2/30 Net  60",10009,"12-JUL-2013","12-JUL-2013","USD",,,"",6084.04,"USD",6084.04,"ERS","STANDARD","ERS","N","CHECK","STANDARD","12-JUL-2013 00:00"
