"PO_BLANKET_ID","PO_RELEASE_ID","PO_NUMBER","LATEST_REVISION","CANCEL_FLAG","PERSON_ID","SUPPLIER_ID","SUPPLIER_SITE_ID","GEOGRAPHY_ID","CURRENCY_CODE","CURRENCY_RATE_TYPE","CURRENCY_EXCHANGE_DATE","CURRENCY_EXCHANGE_RATE","CREATION_DATE","ORIG_APPROVAL_SUBMIT_DATE","ORIG_APPROVED_DATE","LATEST_APPROVED_DATE","TRANSMISSION_METHOD","PAY_ON_CODE","CREATION_METHOD","PAY_TERMS"
3595,5931,"809-2",0,"N",57,21,41,207,"USD","","","","06-JUN-2009","06-JUN-2009 06:49","06-JUN-2009 06:49","06-JUN-2009 06:49","MANUAL","","MANUAL","Immediate"
3595,6015,"809-3",0,"N",57,21,41,207,"USD","","","","07-JUN-2009","07-JUN-2009 06:14","07-JUN-2009 06:14","07-JUN-2009 06:14","MANUAL","","MANUAL","Immediate"
3595,6758,"809-9",0,"N",57,21,41,207,"USD","","","","21-JUN-2009","21-JUN-2009 06:55","21-JUN-2009 06:55","21-JUN-2009 06:55","MANUAL","","MANUAL","Immediate"
3595,5817,"809-1",0,"N",57,21,41,207,"USD","","","","05-JUN-2009","05-JUN-2009 10:50","05-JUN-2009 10:50","05-JUN-2009 10:50","MANUAL","","MANUAL","Immediate"
3595,6557,"809-6",0,"N",57,21,41,207,"USD","","","","18-JUN-2009","18-JUN-2009 07:44","18-JUN-2009 07:44","18-JUN-2009 07:44","MANUAL","","MANUAL","Immediate"
3595,6590,"809-7",0,"N",57,21,41,207,"USD","","","","18-JUN-2009","18-JUN-2009 08:00","18-JUN-2009 08:00","18-JUN-2009 08:00","MANUAL","","MANUAL","Immediate"
3595,6640,"809-8",0,"N",57,21,41,207,"USD","","","","19-JUN-2009","19-JUN-2009 05:49","19-JUN-2009 05:49","19-JUN-2009 05:49","MANUAL","","MANUAL","Immediate"
3595,7082,"809-11",0,"N",57,21,41,207,"USD","","","","02-JUL-2009","02-JUL-2009 06:49","02-JUL-2009 06:49","02-JUL-2009 06:49","MANUAL","","MANUAL","Immediate"
3595,6336,"809-4",0,"N",57,21,41,207,"USD","","","","13-JUN-2009","13-JUN-2009 05:23","13-JUN-2009 05:23","13-JUN-2009 05:23","MANUAL","","MANUAL","Immediate"
3595,6446,"809-5",0,"N",57,21,41,207,"USD","","","","14-JUN-2009","14-JUN-2009 05:25","14-JUN-2009 05:25","14-JUN-2009 05:25","MANUAL","","MANUAL","Immediate"
3595,6884,"809-10",0,"N",57,21,41,207,"USD","","","","27-JUN-2009","27-JUN-2009 13:08","27-JUN-2009 13:08","27-JUN-2009 13:08","MANUAL","","MANUAL","Immediate"
3595,7123,"809-12",0,"N",57,21,41,207,"USD","","","","03-JUL-2009","03-JUL-2009 07:45","03-JUL-2009 07:45","03-JUL-2009 07:45","MANUAL","","MANUAL","Immediate"
3595,8260,"809-14",0,"N",57,21,41,207,"USD","","","","30-JUL-2009","30-JUL-2009 08:47","30-JUL-2009 08:47","30-JUL-2009 08:47","MANUAL","","MANUAL","Immediate"
3595,8426,"809-15",0,"N",57,21,41,207,"USD","","","","01-AUG-2009","01-AUG-2009 05:15","01-AUG-2009 05:15","01-AUG-2009 05:15","MANUAL","","MANUAL","Immediate"
3595,8824,"809-19",0,"N",57,21,41,207,"USD","","","","08-AUG-2009","08-AUG-2009 06:09","08-AUG-2009 06:09","08-AUG-2009 06:09","MANUAL","","MANUAL","Immediate"
3595,8223,"809-13",0,"N",57,21,41,207,"USD","","","","30-JUL-2009","30-JUL-2009 06:11","30-JUL-2009 06:11","30-JUL-2009 06:11","MANUAL","","MANUAL","Immediate"
3595,8518,"809-16",0,"N",57,21,41,207,"USD","","","","02-AUG-2009","02-AUG-2009 08:07","02-AUG-2009 08:07","02-AUG-2009 08:07","MANUAL","","MANUAL","Immediate"
3595,8687,"809-17",0,"N",57,21,41,207,"USD","","","","06-AUG-2009","06-AUG-2009 05:06","06-AUG-2009 05:06","06-AUG-2009 05:06","MANUAL","","MANUAL","Immediate"
3595,8765,"809-18",0,"N",57,21,41,207,"USD","","","","07-AUG-2009","07-AUG-2009 05:43","07-AUG-2009 05:43","07-AUG-2009 05:43","MANUAL","","MANUAL","Immediate"
3595,9785,"809-23",1,"N",57,21,41,207,"USD","","","","10-SEP-2009","10-SEP-2009 02:56","10-SEP-2009 02:56","10-SEP-2009 02:56","MANUAL","","MANUAL","Immediate"
3595,9626,"809-21",1,"N",57,21,41,207,"USD","","","","05-SEP-2009","05-SEP-2009 06:10","05-SEP-2009 06:10","05-SEP-2009 06:10","MANUAL","","MANUAL","Immediate"
3595,9710,"809-22",2,"N",57,21,41,207,"USD","","","","06-SEP-2009","06-SEP-2009 06:01","06-SEP-2009 06:01","06-SEP-2009 06:01","MANUAL","","MANUAL","Immediate"
3595,9913,"809-25",1,"N",57,21,41,207,"USD","","","","12-SEP-2009","12-SEP-2009 15:16","12-SEP-2009 15:16","12-SEP-2009 15:16","MANUAL","","MANUAL","Immediate"
3595,9549,"809-20",0,"N",57,21,41,207,"USD","","","","04-SEP-2009","04-SEP-2009 08:49","04-SEP-2009 08:49","04-SEP-2009 08:49","MANUAL","","MANUAL","Immediate"
3595,9844,"809-24",1,"N",57,21,41,207,"USD","","","","11-SEP-2009","11-SEP-2009 10:11","11-SEP-2009 10:11","11-SEP-2009 10:11","MANUAL","","MANUAL","Immediate"
3595,9974,"809-26",1,"N",57,21,41,207,"USD","","","","13-SEP-2009","13-SEP-2009 01:22","13-SEP-2009 01:22","13-SEP-2009 01:22","MANUAL","","MANUAL","Immediate"
3595,10475,"809-27",0,"N",57,21,41,207,"USD","","","","02-OCT-2009","02-OCT-2009 06:20","02-OCT-2009 06:20","02-OCT-2009 06:20","MANUAL","","MANUAL","Immediate"
3595,10803,"809-31",0,"N",57,21,41,207,"USD","","","","04-OCT-2009","04-OCT-2009 06:45","04-OCT-2009 06:45","04-OCT-2009 06:45","MANUAL","","MANUAL","Immediate"
3595,10886,"809-32",1,"N",57,21,41,207,"USD","","","","07-OCT-2009","07-OCT-2009 06:21","07-OCT-2009 06:21","07-OCT-2009 06:21","MANUAL","","MANUAL","Immediate"
3595,10641,"809-29",0,"N",57,21,41,207,"USD","","","","03-OCT-2009","03-OCT-2009 07:16","03-OCT-2009 07:16","03-OCT-2009 07:16","MANUAL","","MANUAL","Immediate"
3595,10699,"809-30",0,"N",57,21,41,207,"USD","","","","03-OCT-2009","03-OCT-2009 09:26","03-OCT-2009 09:26","03-OCT-2009 09:26","MANUAL","","MANUAL","Immediate"
3595,10543,"809-28",0,"N",57,21,41,207,"USD","","","","02-OCT-2009","02-OCT-2009 07:58","02-OCT-2009 07:58","02-OCT-2009 07:58","MANUAL","","MANUAL","Immediate"
3595,11365,"809-37",0,"N",57,21,41,207,"USD","","","","16-OCT-2009","16-OCT-2009 06:04","16-OCT-2009 06:04","16-OCT-2009 06:04","MANUAL","","MANUAL","Immediate"
3595,11071,"809-34",1,"N",57,21,41,207,"USD","","","","09-OCT-2009","09-OCT-2009 08:10","09-OCT-2009 08:10","09-OCT-2009 08:10","MANUAL","","MANUAL","Immediate"
