"RECEIPT_ID","SUPPLIER_ID","SUPPLIER_ADDRESS_ID","SUPPLIER_SHIPMENT_NUMBER","RECEIPT_REFERENCE","SHIP_TO_GEOGRAPHY_ID","BILL_OF_LADING","WAYBILL","PACK_SLIP_REFERENCE","FREIGHT_CODE","SCHEDULED_RECEIPT_DATE","RECEIVED_BY_PERSON_ID","RECEIPT_DATE","RECEIPT_DATE_1","RECEIPT_NOTES"
2455185,22,2199,"","8194",,"","","","",10/JUL/06,1783,06/JUL/06,"06-JUL-2013",""
2467199,478,2462,"","8216",,"","","","",10/JUL/06,1314,10/JUL/06,"10-JUL-2013",""
2467200,537,1521,"","8217",,"","","","",10/JUL/06,1314,10/JUL/06,"10-JUL-2013",""
2471188,21,41,"","5030",,"","","","",,57,10/JUL/06,"10-JUL-2013",""
2471189,21,41,"","5028",,"","","","",,57,10/JUL/06,"10-JUL-2013",""
2471190,21,2696,"","4185",,"","","","",13/JUL/06,1850,11/JUL/06,"11-JUL-2013",""
2471191,22,,"","10287",532,"","","","",11/JUL/06,1715,11/JUL/06,"11-JUL-2013",""
2471192,147,,"","10288",532,"","","","",11/JUL/06,1715,11/JUL/06,"11-JUL-2013",""
2471193,22,,"","10289",532,"","","","",11/JUL/06,1715,11/JUL/06,"11-JUL-2013",""
2471194,2,2222,"","10290",532,"","","","",11/JUL/06,1715,11/JUL/06,"11-JUL-2013",""
2473190,2,,"","9358",535,"","","","",11/JUL/06,1313,11/JUL/06,"11-JUL-2013",""
2473191,21,2040,"","9359",535,"","","","",11/JUL/06,1313,11/JUL/06,"11-JUL-2013",""
2473192,147,628,"","7251",,"","","","",11/JUL/06,4758,11/JUL/06,"11-JUL-2013",""
2473193,22,2236,"","7252",,"","","","",18/JUL/06,4758,11/JUL/06,"11-JUL-2013",""
2485191,22,2236,"","7256",,"","","","",13/JUL/06,4758,13/JUL/06,"13-JUL-2013",""
2486190,2,391,"","8223",,"","","","",13/JUL/06,1783,13/JUL/06,"13-JUL-2013",""
2486191,22,2236,"","7257",,"","","","",13/JUL/06,4758,13/JUL/06,"13-JUL-2013",""
2486192,3,2235,"","7258",,"","","","",13/JUL/06,4758,13/JUL/06,"13-JUL-2013",""
2486193,22,2236,"","7259",,"","","","",13/JUL/06,4758,13/JUL/06,"13-JUL-2013",""
2486194,2,1866,"","7260",,"","","","",13/JUL/06,4758,13/JUL/06,"13-JUL-2013",""
2487190,22,,"","10297",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487191,21,,"","10298",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487192,22,,"","10299",532,"","","","",20/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487193,21,,"","10300",532,"","","","",17/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487194,22,2221,"","10301",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487195,5,,"","10302",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487196,3,,"","10303",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487197,22,,"","10304",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487198,2,,"","10305",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2487199,22,2221,"","10306",532,"","","","",13/JUL/06,1715,13/JUL/06,"13-JUL-2013",""
2488190,22,2228,"","8090",,"","","","",14/JUL/06,384,14/JUL/06,"14-JUL-2013",""
2488191,1355,3219,"","30253",839,"","","","",14/JUL/06,10313,14/JUL/06,"14-JUL-2013",""
2455186,147,2678,"","4506",695,"","","","",06/JUL/06,1851,06/JUL/06,"06-JUL-2013",""
2455187,2,416,"","9351",535,"","","","",10/JUL/06,1313,06/JUL/06,"06-JUL-2013",""
2457186,22,2546,"","10557",211,"","","","",05/JUL/06,53,06/JUL/06,"06-JUL-2013",""
2459187,22,2228,"","8053",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459188,21,,"","8054",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459189,22,2228,"","8055",,"","","","",14/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459190,21,,"","8056",,"","","","",14/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459191,22,2228,"","8057",,"","","","",11/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459192,3,2227,"","8058",,"","","","",11/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459193,2,2233,"","8059",,"","","","",11/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459194,22,2228,"","8060",,"","","","",11/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459195,147,2226,"","10283",532,"","","","",07/JUL/06,1715,07/JUL/06,"07-JUL-2013",""
2459196,147,2229,"","8061",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459197,22,2228,"","8062",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459198,5,2231,"","8063",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459199,3,2227,"","8064",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459200,21,2232,"","8065",,"","","","",07/JUL/06,384,07/JUL/06,"07-JUL-2013",""
2459201,1353,3216,"","30248",839,"","","","",07/JUL/06,10339,07/JUL/06,"07-JUL-2013",""
2460192,1,,"","9353",535,"","","","",07/JUL/06,5741,07/JUL/06,"07-JUL-2013",""
2460193,537,1297,"","9354",535,"","","","",07/JUL/06,5741,07/JUL/06,"07-JUL-2013",""
2460194,2,1866,"","7239",,"","","","",07/JUL/06,4758,07/JUL/06,"07-JUL-2013",""
2460198,537,2679,"","4511",695,"","","","",07/JUL/06,1875,07/JUL/06,"07-JUL-2013",""
2462189,415,1087,"","8032",,"","","","",07/JUL/06,31,07/JUL/06,"07-JUL-2013",""
2465188,147,2229,"","8066",,"","","","",10/JUL/06,384,10/JUL/06,"10-JUL-2013",""
2465191,5,2231,"","8067",,"","","","",10/JUL/06,384,10/JUL/06,"10-JUL-2013",""
2444185,2,1866,"","7212",,"","","","",04/JUL/06,4758,04/JUL/06,"04-JUL-2013",""
2444186,41,,"","7213",,"","","","",04/JUL/06,4758,04/JUL/06,"04-JUL-2013",""
2444187,334,2342,"","7214",,"","","","",04/JUL/06,4758,04/JUL/06,"04-JUL-2013",""
2444188,478,2343,"","7215",,"","","","",04/JUL/06,4758,04/JUL/06,"04-JUL-2013",""
2444200,1,2326,"","8041",,"","","","",04/JUL/06,384,04/JUL/06,"04-JUL-2013",""
2444201,334,2328,"","8042",,"","","","",04/JUL/06,384,04/JUL/06,"04-JUL-2013",""
2444202,478,2327,"","8043",,"","","","",04/JUL/06,384,04/JUL/06,"04-JUL-2013",""
2445192,1,,"","9335",535,"","","","",04/JUL/06,2079,04/JUL/06,"04-JUL-2013",""
2445193,41,,"","9336",535,"","","","",04/JUL/06,5741,04/JUL/06,"04-JUL-2013",""
2445194,334,801,"","9337",535,"","","","",04/JUL/06,1602,04/JUL/06,"04-JUL-2013",""
2445195,478,1887,"","9338",535,"","","","",04/JUL/06,1602,04/JUL/06,"04-JUL-2013",""
2450186,3,,"","10267",532,"","","","",06/JUL/06,1715,06/JUL/06,"06-JUL-2013",""
2450187,21,,"","10268",532,"","","","",06/JUL/06,1715,06/JUL/06,"06-JUL-2013",""
2450188,22,,"","10269",532,"","","","",06/JUL/06,1715,06/JUL/06,"06-JUL-2013",""
2450189,21,,"","10270",532,"","","","",06/JUL/06,1715,06/JUL/06,"06-JUL-2013",""
2450190,2,,"","10271",532,"","","","",06/JUL/06,1715,06/JUL/06,"06-JUL-2013",""
2450191,22,2221,"","10272",532,"","","","",06/JUL/06,1715,06/JUL/06,"06-JUL-2013",""
