RECORD_TYPE:PURCHASE_ORDER_RETURN_LINES,RETURN_LINE_ID,RECEIPT_LINE_ID,RECEIPT_ID,RETURN_DATE,DEVICE,RETURN_QTY,UOM,GEOGRAPHY_ID,PO_ID,PO_RELEASE_ID,PO_REVISION_NUM,PO_LINE_ID,PO_SHIPMENT_ID,P_ACCOUNTING_ID,DELIVER_TO_GEOGRAPHY_ID,DELIVER_TO_PERSON_ID,RETURN_LINE_NOTES,RETURN_CODE,INITIAL_QTY,CORRECTED_QTY,CORRECTIONS,LAST_CORRECTION_DATE
PURCHASE_ORDER_RETURN_LINES,3067964,3067941,2937811,11-Jan-14,PC,3,Week,20795,87298,,,141235,209931,215545,20795,25,,,3,0,0,
PURCHASE_ORDER_RETURN_LINES,3067962,3067933,2937810,11-Jan-14,PC,29,HRS,20795,87296,,,141231,209927,215525,20795,25,,,29,0,0,
PURCHASE_ORDER_RETURN_LINES,3067918,3066959,2936806,11-Jan-14,PC,25,Each,20795,87294,,0,141229,209925,215510,20795,25,,,25,0,0,
PURCHASE_ORDER_RETURN_LINES,3067968,3067947,2937811,11-Jan-14,PC,3,Week,20795,87298,,,141235,209931,215544,20795,25,,,3,0,0,
PURCHASE_ORDER_RETURN_LINES,4474626,4474623,4378775,27-Mar-15,PC,2,EA,204,105792,,,167528,253445,259835,204,25,,Repair - Non-Std Job issure for repair,2,0,0,
PURCHASE_ORDER_RETURN_LINES,3067956,3067923,2937810,11-Jan-14,PC,21,HRS,20795,87296,,,141231,209927,215520,20795,25,,,21,0,0,
PURCHASE_ORDER_RETURN_LINES,3061722,3061719,2932775,10-Jan-14,PC,1,EA,204,87211,,,141023,209541,215086,204,25,,,1,0,0,
PURCHASE_ORDER_RETURN_LINES,3561564,3560591,3431445,9-Aug-14,PC,3,EA,1634,95467,,,153247,226863,232823,1634,25,,,3,0,0,
PURCHASE_ORDER_RETURN_LINES,3067960,3067931,2937810,11-Jan-14,PC,29,HRS,20795,87296,,,141231,209927,215524,20795,25,,,29,0,0,
PURCHASE_ORDER_RETURN_LINES,3067958,3067925,2937810,11-Jan-14,PC,21,HRS,20795,87296,,,141231,209927,215521,20795,25,,,21,0,0,
PURCHASE_ORDER_RETURN_LINES,3067970,3067951,2937811,11-Jan-14,PC,3,Week,20795,87298,,,141235,209931,215538,20795,25,,,3,0,0,
PURCHASE_ORDER_RETURN_LINES,3067920,3066957,2936806,11-Jan-14,PC,21,Each,20795,87294,,0,141229,209925,215509,20795,25,,,21,0,0,
PURCHASE_ORDER_RETURN_LINES,3067966,3067943,2937811,11-Jan-14,PC,3,Week,20795,87298,,,141235,209931,215542,20795,25,,,3,0,0,
