RECORD_TYPE:COA_ACCOUNTS,ACCOUNT_ID,COA_ID,ACCOUNT_TYPE,IS_ENABLED,IS_PARENT,START_DATE,END_DATE,DESCRIPTION,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,SEGMENT7,SEGMENT8,SEGMENT9,SEGMENT10,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,REFERENCE1,REFERENCE2,REFERENCE3,REFERENCE4
COA_ACCOUNTS,17021,101,E,Y,N,,,,1,520,5250,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16902,101,A,Y,N,,,,1,510,1590,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16953,101,E,Y,N,,,,1,740,7330,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16956,101,E,Y,N,,,,1,440,7350,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16961,101,A,Y,N,,,,1,CEO,1550,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16883,101,E,Y,N,,,,1,530,5370,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16884,101,E,Y,N,,,,1,530,5260,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16887,101,E,Y,N,,,,1,540,5390,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16781,101,R,Y,N,,,,1,740,4110,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16802,101,E,Y,N,,,,1,540,5380,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16402,101,A,Y,N,,,,1,0,1000,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16267,101,E,Y,N,,,,1,550,5290,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16268,101,E,Y,N,,,,1,550,5210,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16269,101,E,Y,N,,,,1,550,5220,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16296,101,E,Y,N,,,,1,530,5380,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,16297,101,R,Y,N,,,,1,110,4150,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15861,101,L,Y,N,,,,1,0,2440,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15634,101,E,Y,N,,,,1,110,9110,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15637,101,E,Y,N,,,,1,140,9110,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15640,101,E,Y,N,,,,2,120,9110,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15643,101,E,Y,N,,,,2,402,9110,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15461,101,A,Y,N,,,,1,480,1660,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15463,101,E,Y,N,,,,1,480,7851,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15466,101,E,Y,N,,,,1,720,7340,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15467,101,A,Y,N,,,,1,110,1540,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15470,101,A,Y,N,,,,1,720,1640,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15476,101,A,Y,N,,,,1,560,1650,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15477,101,A,Y,N,,,,1,520,1630,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15338,101,A,Y,N,,,,1,0,1430,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15339,101,A,Y,N,,,,1,0,1440,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15340,101,E,Y,N,,,,1,460,7350,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15343,101,E,Y,N,,,,1,520,5370,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15438,101,A,Y,N,,,,1,470,1550,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15316,101,E,Y,N,,,,1,530,5210,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15320,101,E,Y,N,,,,1,540,5220,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,15322,101,E,Y,N,,,,1,530,5290,0,0,,,,,,,,,,,,,,,,,,N,
COA_ACCOUNTS,14915,101,E,Y,N,,,,1,520,5220,0,0,,,,,,,,,,,,,,,,,,N,
