RECORD_TYPE:PAYMENT_TERM_LINES,PAYMENT_TERMS_ID,SEQUENCE_NUM,DUE_PERCENT,DUE_AMOUNT,DUE_DAYS,DUE_DAY_OF_MONTH,DUE_MONTHS_FORWARD,DISCOUNT_PERCENT,DISCOUNT_DAYS,DISCOUNT_DAY_OF_MONTH,DISCOUNT_MONTHS_FORWARD,DISCOUNT_PERCENT_2,DISCOUNT_DAYS_2,DISCOUNT_DAY_OF_MONTH_2,DISCOUNT_MONTHS_FORWARD_2,DISCOUNT_PERCENT_3,DISCOUNT_DAYS_3,DISCOUNT_DAY_OF_MONTH_3,DISCOUNT_MONTHS_FORWARD_3,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,FIXED_DATE,CALENDAR,DISCOUNT_AMOUNT,DISCOUNT_CRITERIA,DISCOUNT_AMOUNT_2,DISCOUNT_CRITERIA_2,DISCOUNT_AMOUNT_3,DISCOUNT_CRITERIA_3
PAYMENT_TERM_LINES,10000,1,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10004,1,100,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10005,1,100,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10007,1,100,,45,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10002,1,100,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,1020003,1,100,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10010,1,100,,30,,,,,,,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10009,1,100,,60,,,4,10,,,3,20,,,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10003,1,100,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10008,1,50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10008,2,50,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10006,1,,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10006,2,,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,1020002,1,100,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10001,1,100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYMENT_TERM_LINES,10013,1,100,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
