RECORD_TYPE:PURCHASE_ORDER_RECEIPT_LINES,RECEIPT_LINE,RECEIPT_ID,RECEIPT_DATE,DEVICE,RCV_QTY,UOM,GEOGRAPHY_ID,PO_ID,PO_RELEASE_ID,PO_REVISION_NUM,PO_LINE_ID,PO_SHIPMENT_ID,P_ACCOUNTING_ID,DELIVER_TO_GEOGRAPHY_ID,DELIVER_TO_PERSON_ID,RECEIPT_LINE_NOTES,SUPPLIER_LOT_BATCH_REF,INITIAL_QTY,CORRECTED_QTY,CORRECTIONS,LAST_CORRECTION_DATE
PURCHASE_ORDER_RECEIPT_LINES,2840546,2678313,29-Sep-13,PC,1000,PD,,83125,,,131420,200866,206244,,,,,10000,-9000,1,29-Sep-13
PURCHASE_ORDER_RECEIPT_LINES,2840552,2678313,29-Sep-13,PC,1036,Lbs,,83125,,,131421,200867,206245,,,,,10036,-9000,1,29-Sep-13
PURCHASE_ORDER_RECEIPT_LINES,2840554,2678313,29-Sep-13,PC,1058,Lbs,,83125,,,131422,200868,206246,,,,,10058,-9000,1,29-Sep-13
PURCHASE_ORDER_RECEIPT_LINES,2840556,2678313,29-Sep-13,PC,1300,Lbs,,83125,,,131423,200869,206247,,,,,12300,-11000,1,29-Sep-13
PURCHASE_ORDER_RECEIPT_LINES,3083029,2954805,17-Jan-14,PC,3.9,WK,20795,87539,,0,141568,210554,216166,20795,31,,,3.9,0,0,
PURCHASE_ORDER_RECEIPT_LINES,2638104,2481272,12-Jul-13,PC,534,Ea,209,32841,91326,1,38319,191092,196323,209,57,,,534,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5878430,5814878,24-Feb-16,PC,39,Ea,,120574,,,187147,293327,300023,,,,,39,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3224005,3094921,16-Mar-14,PC,26,Ea,20795,90152,,0,144989,214831,220623,20795,31,,,26,0,0,
PURCHASE_ORDER_RECEIPT_LINES,4533765,4438816,14-Apr-15,PC,1,EA,204,106590,,0,168555,255240,261654,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,3560567,3431437,9-Aug-14,PC,1,Ea,204,95461,,,153241,226855,232815,204,25,,,1,0,0,
PURCHASE_ORDER_RECEIPT_LINES,6115896,6062968,1-Feb-16,PC,600,Ea,,100798,,,160664,240091,246308,,,,,600,0,0,
PURCHASE_ORDER_RECEIPT_LINES,5874164,5810780,23-Jan-16,PC,50,Ea,,120089,,,185902,291259,298005,,,,,50,0,0,
