"RECORD_TYPE:SUPPLIERS","SUPPLIER_ID","SUPPLIER_NAME","SUPPLIER_NUMBER","PERSON_ID","SUPPLIER_TYPE","PARENT_SUPPLIER_ID","PAY_TYPE","PAY_TERMS","DUE_DAYS","DUE_DAY_OF_MONTH","DUE_MONTHS_FORWARD","DISCOUNT_PERCENT","DISCOUNT_DAYS","CREATION_DATE","FROM_ROWNUMBER"
"SUPPLIERS",41,"Vision","1015",,"Internal",,"Standard [USD]","Immediate",0,,,,,"10-apr-1997 13:45",1
"SUPPLIERS",21,"Advanced Network Devices","1013",,"Manufacturing",,"Priority [USD]","Immediate",0,,,,,"25-feb-1997 15:01",2
"SUPPLIERS",13,"Internal Revenue Service","1012",,"TAX AUTHORITY",,"Priority [USD]","Immediate",0,,,,,"24-feb-1997 17:53",3
"SUPPLIERS",2,"GE Capital","1001",,"VENDOR",3,"EDI [USD]","Immediate",0,,,,,"24-feb-1997 14:54",4
"SUPPLIERS",803,"Bank of America","5058",,"Service",,"Standard [USD]","Immediate",0,,,,,"19-jul-2001 11:53",5
"SUPPLIERS",2105,"Internal-Vision Operations","20061",,"Internal",,"Standard [USD]","Immediate",0,,,,,"07-may-2004 05:57",6
"SUPPLIERS",34167,"philip kang","5",,"SUPPLIER",,"Standard [UAH]","30 Net (terms date + 30)",30,,,,,"28-apr-2008 16:48",7
"SUPPLIERS",9,"Office Supplies, Inc.","1008",,"VENDOR",,"Standard [USD]","30 Net (terms date + 30)",30,,,,,"24-feb-1997 16:20",8
"SUPPLIERS",1,"GE Plastics","1000",,"Manufacturing",3,"Standard [USD]","30 Net (terms date + 30)",30,,,,,"24-feb-1997 14:22",9
"SUPPLIERS",621,"Eastman Kodak","5040",,"MEDICAL MANUFACTURER",,"Standard []","30 Net (terms date + 30)",30,,,,,"30-jan-2001 13:50",10
"SUPPLIERS",700,"Orthopedic Systems","5046",,"Manufacturing",,"Standard [USD]","30 Net (terms date + 30)",30,,,,,"09-feb-2001 09:22",11
"SUPPLIERS",600,"3M Health Care","5037",,"MEDICAL MANUFACTURER",,"Standard []","30 Net (terms date + 30)",30,,,,,"25-jan-2001 13:49",12
"SUPPLIERS",6,"American Telephone and Telegraph","1005",,"Service",,"Standard [USD]","30 Net (terms date + 30)",30,,,,,"24-feb-1997 15:24",13
"SUPPLIERS",1782,"Automotive Supplier #4","20009",,"Manufacturing",,"Standard [USD]","30 Net (terms date + 30)",30,,,,,"07-oct-2003 12:41",14
