RECORD_TYPE:UOM_CONVERSIONS,FROM_UOM_CODE,FROM_UOM_CLASS,TO_UOM_CODE,TO_UOM_CLASS,CONVERSION_RATE
UOM_CONVERSIONS,ALB,ACTM,ALB,ACTM,1
UOM_CONVERSIONS,AGH,APU_Grd,AGH,APU_Grd,1
UOM_CONVERSIONS,AHR,APU_Time,AHR,APU_Time,1
UOM_CONVERSIONS,SFT,AREA,SFT,AREA,1
UOM_CONVERSIONS,FT2,Area,FT2,Area,1
UOM_CONVERSIONS,Y02,BirdStrike,Y02,BirdStrike,1
UOM_CONVERSIONS,uF,CAP,uF,CAP,1
UOM_CONVERSIONS,EA,CNT,EA,CNT,1
UOM_CONVERSIONS,CPU,CPU,CPU,CPU,1
UOM_CONVERSIONS,GHz,CPU2,GHz,CPU2,1
UOM_CONVERSIONS,C,Celsius,C,Celsius,1
UOM_CONVERSIONS,CPE,ChargePer,CPE,ChargePer,1
UOM_CONVERSIONS,USD,Currency,USD,Currency,1
UOM_CONVERSIONS,AMP,Current,AMP,Current,1
UOM_CONVERSIONS,DRM,DRM,DRM,DRM,1
UOM_CONVERSIONS,V,Electrical,V,Electrical,1
UOM_CONVERSIONS,Y03,EmerBrake,Y03,EmerBrake,1
UOM_CONVERSIONS,GAL,Fluid,GAL,Fluid,1
UOM_CONVERSIONS,MCD,GFlow,MCD,GFlow,1
UOM_CONVERSIONS,MFD,GFlow Rate,MFD,GFlow Rate,1
UOM_CONVERSIONS,mm,Height,mm,Height,1
UOM_CONVERSIONS,R03,Hyd Pres H,R03,Hyd Pres H,1
UOM_CONVERSIONS,R04,Hyd Pres L,R04,Hyd Pres L,1
UOM_CONVERSIONS,FTP,LGTH,FTP,LGTH,1
UOM_CONVERSIONS,FT,Length,FT,Length,1
UOM_CONVERSIONS,Y01,Lightning,Y01,Lightning,1
UOM_CONVERSIONS,LB,MASS,LB,MASS,1
UOM_CONVERSIONS,m,MLENGTH,m,MLENGTH,1
UOM_CONVERSIONS,Kg,MMASS,Kg,MMASS,1
UOM_CONVERSIONS,l,MVOLUME,l,MVOLUME,1
UOM_CONVERSIONS,ML,Miles,ML,Miles,1
UOM_CONVERSIONS,R02,Oil Temp H,R02,Oil Temp H,1
UOM_CONVERSIONS,R01,Oil Temp L,R01,Oil Temp L,1
UOM_CONVERSIONS,BBD,PFlow,BBD,PFlow,1
UOM_CONVERSIONS,BLD,PFlow Rate,BLD,PFlow Rate,1
UOM_CONVERSIONS,PKG,PKG,PKG,PKG,1
UOM_CONVERSIONS,Szt,PL Ilosc,Szt,PL Ilosc,1
UOM_CONVERSIONS,PLT,PLT,PLT,PLT,1
UOM_CONVERSIONS,Box,Package,Box,Package,1
UOM_CONVERSIONS,%,Percent,%,Percent,1
UOM_CONVERSIONS,W,Power,W,Power,1
UOM_CONVERSIONS,Ea,Quantity,Ea,Quantity,1
UOM_CONVERSIONS,OHM,Resistance,OHM,Resistance,1
UOM_CONVERSIONS,mg,SMASS,mg,SMASS,1
UOM_CONVERSIONS,HRS,TIME,HRS,TIME,1
UOM_CONVERSIONS,HR,Time,HR,Time,1
UOM_CONVERSIONS,ENR,Training,ENR,Training,1
UOM_CONVERSIONS,THR,Transit,THR,Transit,1
UOM_CONVERSIONS,UCY,Util Cycle,UCY,Util Cycle,1
UOM_CONVERSIONS,RN,Util Gun,RN,Util Gun,1
UOM_CONVERSIONS,UHR,Util Time,UHR,Util Time,1
UOM_CONVERSIONS,GL,VOL,GL,VOL,1
UOM_CONVERSIONS,CFT,VOL3,CFT,VOL3,1
UOM_CONVERSIONS,VLT,VOLT,VLT,VOLT,1
UOM_CONVERSIONS,FT3,Volume,FT3,Volume,1
UOM_CONVERSIONS,Lbs,Weight,Lbs,Weight,1
