RECORD_TYPE:CONTRACTS,CONTRACT_ID,CONTRACT_NUM,CONTRACT_TYPE,PERSON_ID,SUPPLIER_ID,SUPPLIER_ADDRESS_ID,SUPPLIER_CONTACT_ID,CURRENCY_CODE,CURRENCY_RATE_TYPE,CURRENCY_EXCHANGE_DATE,CURRENCY_EXCHANGE_RATE,CREATION_DATE,ORIG_APPROVAL_SUBMIT_DATE,ORIG_APPROVED_DATE,LATEST_APPROVED_DATE,START_DATE,END_DATE,CLOSED_DATE,LATEST_REVISION,AMOUNT_LIMIT,SUPPLIER_REF,IS_CANCELLED
CONTRACTS,81314,5370,BPA,59,537,1193,749,USD,,21-Aug-13,,21-Aug-13,21/08/13 11:54,21/08/13 11:54,17/10/13 11:16,,16-Oct-13,,2,,,N
CONTRACTS,81215,5366,BPA,25,557,1233,789,USD,,,,11-Aug-13,,11/08/13 21:17,11/08/13 21:17,,,,0,,,N
CONTRACTS,81315,5371,BPA,59,517,1173,729,USD,,21-Aug-13,,21-Aug-13,21/08/13 12:54,21/08/13 12:54,22/09/13 18:07,,,,1,,,N
CONTRACTS,82522,5412,BPA,59,147,259,1526,USD,,22-Sep-13,,22-Sep-13,22/09/13 15:39,22/09/13 15:39,22/09/13 15:39,,,,0,,,N
CONTRACTS,83988,5439,BPA,59,537,1193,749,USD,,17-Oct-13,,17-Oct-13,17/10/13 11:22,17/10/13 11:22,17/10/13 11:22,,,,0,,,N
CONTRACTS,87722,5515,BPA,57,11,15,202,USD,,18-Jan-14,,18-Jan-14,18/01/14 16:36,18/01/14 16:36,18/01/14 16:36,,,,0,,,N
CONTRACTS,87723,5516,BPA,57,22,42,,USD,,18-Jan-14,,18-Jan-14,18/01/14 16:34,18/01/14 16:34,18/01/14 16:34,,,,0,,,N
CONTRACTS,87724,5517,BPA,57,147,259,1526,USD,,18-Jan-14,,18-Jan-14,18/01/14 16:41,18/01/14 16:41,18/01/14 16:41,,,,0,,,N
CONTRACTS,92096,5628,BPA,20,22,42,,USD,,7-May-14,,7-May-14,7/05/14 13:42,7/05/14 13:42,7/05/14 13:42,1-May-14,,,0,,,N
CONTRACTS,91260,5608,BPA,22417,14147,5801,14913,USD,,16-Apr-14,,16-Apr-14,16/04/14 12:07,16/04/14 12:12,15/01/15 10:32,16-Apr-14,31-Dec-16,,2,5000000,,N
CONTRACTS,93261,5662,BPA,59,9,12,,USD,,11-Jun-14,,11-Jun-14,11/06/14 11:58,11/06/14 11:58,21/09/14 13:32,,21-Sep-14,,2,,,N
CONTRACTS,95928,5734,BPA,57,1160,2836,2043,USD,,22-Aug-14,,22-Aug-14,22/08/14 11:18,22/08/14 11:18,22/08/14 11:18,22-Aug-14,,,0,,,N
CONTRACTS,95479,5723,BPA,22417,1375,3239,,USD,,9-Aug-14,,9-Aug-14,9/08/14 12:12,9/08/14 12:12,16/04/16 14:25,9-Aug-14,16-Apr-16,,1,,,N
CONTRACTS,99697,5801,BPA,57,5,6,181,USD,,16-Nov-14,,16-Nov-14,16/11/14 10:41,16/11/14 10:41,16/11/14 10:41,,,,0,,,N
CONTRACTS,103166,5932,BPA,57,5,6,181,USD,,23-Jan-15,,23-Jan-15,23/01/15 11:16,23/01/15 11:16,23/01/15 11:16,,,,0,,,N
CONTRACTS,103186,5933,BPA,57,5,6,181,USD,,23-Jan-15,,23-Jan-15,24/01/15 15:52,24/01/15 15:52,24/01/15 16:09,,,,1,,,N
CONTRACTS,103187,5934,BPA,57,145,255,386,USD,,23-Jan-15,,23-Jan-15,23/01/15 17:41,23/01/15 17:41,23/01/15 17:42,,,,1,,,N
CONTRACTS,103188,5935,BPA,57,147,259,1526,USD,,23-Jan-15,,23-Jan-15,23/01/15 17:48,23/01/15 17:48,23/01/15 17:48,,,,0,,,N
CONTRACTS,102686,5929,BPA,57,147,259,1526,USD,,16-Jan-15,,16-Jan-15,16/01/15 14:16,16/01/15 14:16,16/01/15 14:16,,,,0,,,N
CONTRACTS,102687,5930,BPA,57,22,42,,USD,,16-Jan-15,,16-Jan-15,16/01/15 14:20,16/01/15 14:20,16/01/15 14:20,,,,0,,,N
CONTRACTS,109976,6015,BPA,57,11,15,202,USD,,24-Jun-15,,24-Jun-15,24/06/15 17:55,24/06/15 17:56,24/06/15 17:56,,,,0,,,N
CONTRACTS,120024,6141,BPA,57,145,255,386,USD,,16-Jan-16,,16-Jan-16,16/01/16 13:27,16/01/16 13:27,16/01/16 13:27,,,,0,,,N
CONTRACTS,120025,6142,BPA,57,5,6,181,USD,,16-Jan-16,,16-Jan-16,16/01/16 13:30,16/01/16 13:30,16/01/16 13:30,,,,0,,,N
CONTRACTS,120458,6167,BPA,57,5,6,181,USD,,18-Feb-16,,18-Feb-16,18/02/16 13:46,18/02/16 13:46,18/02/16 13:46,,,,0,,,N
CONTRACTS,3595,809,BPA,57,21,41,201,USD,,,,13-May-04,18/09/10 7:41,13/05/04 16:29,18/09/10 7:41,13-May-04,,2-Nov-16,9,,,N
CONTRACTS,28226,4272,BPA,8924,1717,4060,,USD,,12-Sep-10,,12-Sep-10,22/09/17 10:32,12/09/10 9:40,22/09/17 10:32,1-Sep-10,16-Apr-22,,6,,,N
CONTRACTS,28227,4273,BPA,8924,1718,4081,,USD,,12-Sep-10,,12-Sep-10,5/10/11 10:18,12/09/10 9:50,5/10/11 10:18,1-Sep-10,31-Dec-16,,1,,,N
CONTRACTS,28228,4274,BPA,8924,1719,4082,,USD,,12-Sep-10,,12-Sep-10,5/10/11 10:19,12/09/10 9:51,5/10/11 10:19,1-Sep-10,31-Dec-17,,2,,,N
CONTRACTS,28030,4260,BPA,8924,1716,4059,,USD,,9-Sep-10,,9-Sep-10,5/10/11 10:18,9/09/10 10:41,5/10/11 10:18,1-Sep-10,31-Dec-17,,1,,,N
CONTRACTS,32984,4443,BPA,57,21,41,,USD,,22-Jan-11,,22-Jan-11,10/02/11 10:53,22/01/11 11:47,10/02/11 10:53,22-Jan-11,,15-Oct-16,1,,,N
CONTRACTS,32839,4427,BPA,57,11,15,202,USD,,16-Jan-11,,16-Jan-11,10/02/11 10:29,16/01/11 8:55,10/02/11 10:29,16-Jan-11,,15-Oct-16,1,,,N
CONTRACTS,32840,4428,BPA,57,147,259,1526,USD,,,,16-Jan-11,10/02/11 10:32,16/01/11 8:57,10/02/11 10:32,16-Jan-11,,15-Oct-16,1,,,N
CONTRACTS,32841,4429,BPA,57,147,259,1526,USD,,,,16-Jan-11,10/02/11 14:14,16/01/11 9:00,10/02/11 14:14,16-Jan-11,,15-Oct-16,1,,,N
CONTRACTS,32843,4431,BPA,57,22,42,,USD,,16-Jan-11,,16-Jan-11,10/02/11 10:58,16/01/11 9:07,10/02/11 10:58,16-Jan-11,,15-Oct-16,2,,,N
CONTRACTS,32844,4432,BPA,57,5,6,181,USD,,16-Jan-11,,16-Jan-11,10/02/11 10:49,16/01/11 9:10,10/02/11 10:49,16-Jan-11,,15-Oct-16,1,,,N
CONTRACTS,32845,4433,BPA,57,5,6,181,USD,,16-Jan-11,,16-Jan-11,10/02/11 10:51,16/01/11 9:12,10/02/11 10:51,16-Jan-11,,15-Oct-16,1,,,N
CONTRACTS,33467,4467,BPA,25,1717,4060,,USD,,6-Feb-11,,6-Feb-11,6/02/11 11:07,6/02/11 11:07,6/02/11 11:07,1-Jan-11,31-Dec-17,,1,,,N
CONTRACTS,38394,4589,BPA,25,2127,5037,,USD,,8-Jul-11,,8-Jul-11,8/07/11 5:07,8/07/11 5:07,8/07/11 5:07,1-Jul-11,31-Dec-17,,0,,,N
CONTRACTS,42349,4681,BPA,8924,1221,2895,,USD,,27-Sep-11,,27-Sep-11,27/09/11 7:40,27/09/11 7:40,27/09/11 7:40,27-Sep-11,31-Dec-19,,0,,,N
CONTRACTS,49568,4772,BPA,57,21,41,,USD,,29-Feb-12,,29-Feb-12,29/02/12 8:07,29/02/12 8:07,29/02/12 8:07,29-Feb-12,27-Feb-16,,0,,,N
CONTRACTS,49569,4773,BPA,57,11,15,202,USD,,29-Feb-12,,29-Feb-12,29/02/12 8:30,29/02/12 8:30,29/02/12 8:30,29-Feb-12,27-Feb-16,,0,,,N
