RECORD_TYPE:INVOICE_HOLDS,INVOICE_HOLD_ID,INVOICE_ID,HOLD_NAME,HOLD_REASON,HOLD_DATE,HOLD_SOURCE,HELD_BY_PERSON_ID,RELEASE_NAME,RELEASE_REASON,RELEASE_DATE,RELEASE_SOURCE,RELEASED_BY_PERSON_ID,HOLD_COMMENTS
INVOICE_HOLDS,56848,156211,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,14-Nov-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,16-Feb-14,SYSTEM,,
INVOICE_HOLDS,56849,157614,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56850,157614,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56851,157614,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56852,157614,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56853,157614,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56854,157614,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56855,157614,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56856,157614,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56857,157614,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56858,157614,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56859,157614,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56860,157614,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56862,157614,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56863,157614,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56864,157614,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56866,157615,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56867,157615,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56868,157615,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56869,157740,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56870,157740,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56871,157740,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56872,157878,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,HOLDS QUICK RELEASED,Holds Released,19-Sep-14,MANUAL,25,
INVOICE_HOLDS,56873,157878,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,HOLDS QUICK RELEASED,Holds Released,19-Sep-14,MANUAL,25,
INVOICE_HOLDS,56874,157878,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,HOLDS QUICK RELEASED,Holds Released,19-Sep-14,MANUAL,25,
INVOICE_HOLDS,56875,157878,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,HOLDS QUICK RELEASED,Holds Released,19-Sep-14,MANUAL,25,
INVOICE_HOLDS,56876,157878,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,HOLDS QUICK RELEASED,Holds Released,19-Sep-14,MANUAL,25,
INVOICE_HOLDS,56877,157878,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,HOLDS QUICK RELEASED,Holds Released,19-Sep-14,MANUAL,25,
INVOICE_HOLDS,56878,157879,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56879,157879,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56880,157880,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56881,157880,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56882,157880,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56883,157881,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56884,157881,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56885,157882,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56886,157882,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,21834,157953,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21835,157953,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21838,157953,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21839,157954,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21842,157955,QTY REC,Quantity billed exceeds quantity received,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21843,157955,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21846,157957,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21847,157957,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,23271,153714,PRICE,Invoice price exceeds purchase order price,12-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,12-Jul-13,MANUAL,25,
INVOICE_HOLDS,23274,153714,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,12-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,12-Jul-13,MANUAL,25,
INVOICE_HOLDS,21299,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21303,157741,QTY ORD,Quantity billed exceeds quantity ordered,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21307,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21311,157741,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,27835,157742,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27838,157744,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27839,157744,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
