RECORD_TYPE:PURCHASE_ORDER_SHIPMENTS,PO_ID,LINE_ID,SHIPMENT_ID,CATEGORY_ID,CANCEL_FLAG,UOM,AMOUNT,QTY,GEOGRAPHY_ID,CONTRACT_ID,CONTRACT_LINE_ID,CONTRACT_PRICE_BREAK,ORIGINAL_DUE_DATE,LATEST_DUE_DATE,SHIPMENT_LINE
PURCHASE_ORDER_SHIPMENTS,3595,3515,3573,31,N,Each,55,1,207,,,,,,1
PURCHASE_ORDER_SHIPMENTS,3595,3515,3574,31,N,Each,5500,100,207,,,,,,2
PURCHASE_ORDER_SHIPMENTS,3595,3515,3575,31,N,Each,11000,200,207,,,,,,3
PURCHASE_ORDER_SHIPMENTS,3595,3515,3576,31,N,Each,16500,300,207,,,,,,4
PURCHASE_ORDER_SHIPMENTS,77588,97183,186339,1,N,Each,2220,2,207,,,,6-Jun-06,6-Jun-06,1
PURCHASE_ORDER_SHIPMENTS,79326,99390,189853,1354,N,Week,101400,3.9,20795,,,,2-Jul-06,2-Jul-06,1
PURCHASE_ORDER_SHIPMENTS,79327,99391,189854,1,N,Each,35856,1,204,,,,,,1
PURCHASE_ORDER_SHIPMENTS,79328,99392,189855,1,N,EA,819,1,204,,,,,,1
PURCHASE_ORDER_SHIPMENTS,79538,99646,190289,1353,N,HRS,504000,1440,20795,,,,7-Jul-06,7-Jul-06,1
PURCHASE_ORDER_SHIPMENTS,79456,99557,190140,1,N,Each,3045,1,204,,,,,,1
PURCHASE_ORDER_SHIPMENTS,79573,99697,190360,2757,N,Each,15000,100,207,,,,7-Jul-06,7-Jul-06,1
PURCHASE_ORDER_SHIPMENTS,79668,99876,190547,1,N,Each,2520,1,204,,,,,,1
PURCHASE_ORDER_SHIPMENTS,79669,99877,190548,1,N,Each,34669,1,204,,,,,,1
PURCHASE_ORDER_SHIPMENTS,79674,99898,190561,2757,N,Each,15000,100,207,,,,10-Jul-06,10-Jul-06,1
PURCHASE_ORDER_SHIPMENTS,79667,99875,190538,21,N,Each,39000,26,20795,,,,8-Jul-06,8-Jul-06,1
