RECORD_TYPE:PURCHASE_ORDER_LINES,PO_ID,LINE_ID,LINE_TYPE,ITEM_ID,CATEGORY_ID,LINE_DESCRIPTION,CANCEL_FLAG,UOM,AMOUNT,QTY,CONTRACT_ID,CONTRACT_LINE_ID,CONTRACT_PRICE_BREAK,SUPPLIER_ITEM_NUMBER
PURCHASE_ORDER_LINES,77588,97183,Goods,45382,1,Sentinel Standard Desktop - TP,N,Each,2220,2,,,,
PURCHASE_ORDER_LINES,79714,99958,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,249.5,10,,,,
PURCHASE_ORDER_LINES,79714,99959,Goods,2376,1,Envoy Upgrade Software,N,Each,247.5,50,,,,
PURCHASE_ORDER_LINES,79714,99960,Goods,2378,1,Envoy Upgrade Manual,N,Each,497.5,50,,,,
PURCHASE_ORDER_LINES,79714,99961,Goods,2372,1,Envoy Upgrade Switch,N,Each,199,20,,,,
PURCHASE_ORDER_LINES,79714,99962,Goods,2370,1,Envoy Upgrade Board (Raw),N,Each,249.5,10,,,,
PURCHASE_ORDER_LINES,79714,99963,Goods,2376,1,Envoy Upgrade Software,N,Each,247.5,50,,,,
PURCHASE_ORDER_LINES,79714,99964,Goods,2378,1,Envoy Upgrade Manual,N,Each,497.5,50,,,,
PURCHASE_ORDER_LINES,79714,99965,Goods,2372,1,Envoy Upgrade Switch,N,Each,199,20,,,,
PURCHASE_ORDER_LINES,80134,100498,Goods,24308,2757,DDR400 DIMM Memory - 184 Pin,N,Each,15000,100,,,,
PURCHASE_ORDER_LINES,80266,100650,Goods,73,36,Mobile phone - expensable asset (tracked in ASSETS as an EXPENSED asset),N,Each,23030,47,,,,
PURCHASE_ORDER_LINES,80566,101090,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,304200,11.7,,,,
PURCHASE_ORDER_LINES,80116,100495,Goods,,1,Toshiba Laptop,N,Each,2982,1,,,,
PURCHASE_ORDER_LINES,79875,100139,Amount Based,,1,Hours,N,Dollars,3,3,,,,
PURCHASE_ORDER_LINES,80709,101273,Goods,33374,1,HP ProLiant DL740 - Xeon MP 3 GHz,N,Each,1500,1,,,,
PURCHASE_ORDER_LINES,79665,99873,Goods,5728,1354,Weekly Warehousing,N,Week,390000,15.6,,,,
PURCHASE_ORDER_LINES,79456,99557,Goods,,1,Dell Desktop,N,Each,3045,1,,,,
PURCHASE_ORDER_LINES,80605,101129,Goods,5734,30,"18"" LCD Flat Panel Monitor",N,Each,52195,55,,,,
PURCHASE_ORDER_LINES,80831,101455,Goods,5730,1354,Cleaning and Maintenance - Weekly,N,Week,101400,3.9,,,,
PURCHASE_ORDER_LINES,81054,101758,Goods,5372,1353,Advertising Services,N,HRS,62400,156,,,,
PURCHASE_ORDER_LINES,81625,104639,Goods,,1,Company Car,N,Each,36805,1,,,,
PURCHASE_ORDER_LINES,81859,104982,Goods,8269,1,DVD Burner 8X,N,Each,500,1,,,,
PURCHASE_ORDER_LINES,81859,104984,Goods,8321,36,DVD,N,Each,30,1,,,,
PURCHASE_ORDER_LINES,82045,105179,Goods,5728,1354,Weekly Warehousing,N,Week,460000,18.4,,,,
PURCHASE_ORDER_LINES,82048,105184,Goods,5560,1353,Legal Services,N,HRS,95850,213,,,,
PURCHASE_ORDER_LINES,82051,105187,Goods,75,36,Paper - requires 2-way match office supply item,N,Each,13600,272,,,,
PURCHASE_ORDER_LINES,82052,105188,Goods,5732,21,File Cabinets -  5 Drawer Lateral (Capitalizable),N,Each,40500,27,,,,
PURCHASE_ORDER_LINES,82053,105189,Goods,5372,1353,Advertising Services,N,HRS,72800,182,,,,
PURCHASE_ORDER_LINES,82059,105202,Fixed Price Services,,3117,Conference Room 5B Remodel,N,Currency,10000,1,,,,
PURCHASE_ORDER_LINES,82079,105222,Goods,4604,1,56 kv V.90 Fax Modem (Internal),N,Each,1164,24,,,,
PURCHASE_ORDER_LINES,82240,105430,Goods,,1,Toshiba Laptop,N,Each,3061,1,,,,
