RECORD_TYPE:UOM_ITEM_CONVERSIONS,ITEM_ID,FROM_UOM_CODE,FROM_UOM_CLASS,TO_UOM_CODE,TO_UOM_CLASS,CONVERSION_RATE
UOM_ITEM_CONVERSIONS,3117,DAY,Time,WK,Time,40
UOM_ITEM_CONVERSIONS,26324,BTL,CNT,BTL,CNT,1
UOM_ITEM_CONVERSIONS,110635,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,111630,PK,Quantity,PK,Quantity,1
UOM_ITEM_CONVERSIONS,110646,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,208977,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211012,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,211007,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,217022,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,217021,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219037,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,229179,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,233206,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,3032,KEG,CNT,KEG,CNT,1
UOM_ITEM_CONVERSIONS,2243,EA,CNT,BOX,CNT,24
UOM_ITEM_CONVERSIONS,99614,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,110630,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,207962,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,217019,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,219036,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,228201,Ea,Quantity,Ea,Quantity,1
UOM_ITEM_CONVERSIONS,98618,EA,CNT,CSE,CNT,12
UOM_ITEM_CONVERSIONS,99622,EA,CNT,CSE,CNT,12
