RECORD_TYPE:CONTRACT_PRICE_BREAKS,CONTRACT_ID,CONTRACT_LINE_ID,PRICE_BREAK_TYPE,PRICE_BREAK_LINE_NUM,UOM,QTY_LIMIT,UNIT_PRICE,GEOGRAPHY_ID,CANCEL_FLAG
CONTRACT_PRICE_BREAKS,91260,146998,PRICE BREAK,1,Each,10,27,2005,N
CONTRACT_PRICE_BREAKS,91260,146998,PRICE BREAK,2,Each,50,25.5,2005,N
CONTRACT_PRICE_BREAKS,91260,146998,PRICE BREAK,3,Each,100,24,2005,N
CONTRACT_PRICE_BREAKS,3595,3515,PRICE BREAK,5,Each,1,55,209,N
CONTRACT_PRICE_BREAKS,3595,3515,PRICE BREAK,4,Each,300,55,207,N
CONTRACT_PRICE_BREAKS,3595,3515,PRICE BREAK,1,Each,1,55,207,N
CONTRACT_PRICE_BREAKS,3595,3515,PRICE BREAK,2,Each,100,55,207,N
CONTRACT_PRICE_BREAKS,3595,3515,PRICE BREAK,3,Each,200,55,207,N
CONTRACT_PRICE_BREAKS,53189,65262,PRICE BREAK,1,Each,100,27,2005,N
CONTRACT_PRICE_BREAKS,53189,65262,PRICE BREAK,2,Each,200,25.5,2005,N
CONTRACT_PRICE_BREAKS,53189,65262,PRICE BREAK,3,Each,500,24,2005,N
