RECORD_TYPE:INVOICE_PAYMENTS,PAYMENT_ID,INVOICE_ID,PAY_METHOD,PAYMENT_TYPE,PAYMENT_DATE,DISCOUNT_LOST,DISCOUNT_TAKEN,BASE_AMOUNT,CURRENCY_CODE,CURRENCY_AMOUNT,EXCHANGE_RATE,CURRENCY_RATE_TYPE,EXCHANGE_RATE_DATE,PAYMENT_REF,PAYMENT_BATCH_REF,BANK_ACCOUNT_ID,BANK_ACCOUNT_NAME,PAYMENT_STATUS,CLEARING_DATE,DOCUMENT_TYPE,REMIT_TO_SUPPLIER_ID
INVOICE_PAYMENTS,127860,153620,AUTO,EFT,25-Aug-13,0,0,390000,USD,395565,,Corporate,25-Aug-06,111,060825eft-204,10010,BofA-204,RECONCILED,25-Aug-13,EFT PAY,557
INVOICE_PAYMENTS,127864,153393,AUTO,CHECK,25-Aug-13,0,0,131500,USD,166169,,Corporate,25-Aug-06,5315,060825chk-204,10010,BofA-204,RECONCILED,25-Aug-13,CHECK PAY,147
INVOICE_PAYMENTS,126196,153954,AUTO,CHECK,14-Jul-13,0,0,27107.3,USD,1768601.77,,,14-Jul-06,5202,060714chk,10001,BofA,RECONCILED,14-Jul-13,,21
INVOICE_PAYMENTS,127923,154112,AUTO,EFT,1-Sep-13,0,0,483,USD,3465,,Corporate,1-Sep-06,127,060901eft-204,10010,BofA-204,RECONCILED,1-Sep-13,EFT PAY,557
INVOICE_PAYMENTS,127914,153906,AUTO,EFT,1-Sep-13,0,630,30870,USD,832239.58,,Corporate,1-Sep-06,129,060901eft-204,10010,BofA-204,RECONCILED,1-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,127902,153875,AUTO,EFT,1-Sep-13,0,0.65,31.9,USD,832239.58,,Corporate,1-Sep-06,129,060901eft-204,10010,BofA-204,RECONCILED,1-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,126151,153886,AUTO,CHECK,14-Jul-13,0,0,1824,USD,1768601.77,,,14-Jul-06,5202,060714chk,10001,BofA,RECONCILED,14-Jul-13,,21
INVOICE_PAYMENTS,127942,153911,AUTO,CHECK,1-Sep-13,0,0,3717.8,USD,649711.33,,Corporate,1-Sep-06,5329,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,147
INVOICE_PAYMENTS,126575,153916,AUTO,CHECK,21-Jul-13,0,70.77,1698.39,USD,151206.57,,,21-Jul-06,5243,060721chk,10001,BofA,RECONCILED,21-Jul-13,,22
INVOICE_PAYMENTS,126576,153917,AUTO,CHECK,21-Jul-13,0,10.1,242.42,USD,151206.57,,,21-Jul-06,5243,060721chk,10001,BofA,RECONCILED,21-Jul-13,,22
INVOICE_PAYMENTS,127917,153935,AUTO,EFT,1-Sep-13,0,2975.7,145809.1,USD,832239.58,,Corporate,1-Sep-06,129,060901eft-204,10010,BofA-204,RECONCILED,1-Sep-13,EFT PAY,11
INVOICE_PAYMENTS,126564,153850,AUTO,CHECK,21-Jul-13,0,557.13,13371.22,USD,151206.57,,,21-Jul-06,5243,060721chk,10001,BofA,RECONCILED,21-Jul-13,,22
INVOICE_PAYMENTS,127936,153861,AUTO,CHECK,1-Sep-13,0,0,7335,USD,649711.33,,Corporate,1-Sep-06,5329,060901chk-204,10010,BofA-204,RECONCILED,1-Sep-13,CHECK PAY,147
