RECORD_TYPE:PURCHASE_ORDER_RECEIPTS,RECEIPT_ID,SUPPLIER_ID,SUPPLIER_ADDRESS_ID,SUPPLIER_SHIPMENT_NUMBER,RECEIPT_REFERENCE,SHIP_TO_GEOGRAPHY_ID,BILL_OF_LADING,WAYBILL,PACK_SLIP_REFERENCE,FREIGHT_CODE,SCHEDULED_RECEIPT_DATE,RECEIVED_BY_PERSON_ID,RECEIPT_DATE,RECEIPT_DATE_1,RECEIPT_NOTES
PURCHASE_ORDER_RECEIPTS,2455185,22,2199,,8194,,,,,,10-Jul-06,1783,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2467199,478,2462,,8216,,,,,,10-Jul-06,1314,10-Jul-06,10-Jul-13,
PURCHASE_ORDER_RECEIPTS,2467200,537,1521,,8217,,,,,,10-Jul-06,1314,10-Jul-06,10-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471188,21,41,,5030,,,,,,,57,10-Jul-06,10-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471189,21,41,,5028,,,,,,,57,10-Jul-06,10-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471190,21,2696,,4185,,,,,,13-Jul-06,1850,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471191,22,,,10287,532,,,,,11-Jul-06,1715,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471192,147,,,10288,532,,,,,11-Jul-06,1715,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471193,22,,,10289,532,,,,,11-Jul-06,1715,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2471194,2,2222,,10290,532,,,,,11-Jul-06,1715,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2473190,2,,,9358,535,,,,,11-Jul-06,1313,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2473191,21,2040,,9359,535,,,,,11-Jul-06,1313,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2473192,147,628,,7251,,,,,,11-Jul-06,4758,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2473193,22,2236,,7252,,,,,,18-Jul-06,4758,11-Jul-06,11-Jul-13,
PURCHASE_ORDER_RECEIPTS,2485191,22,2236,,7256,,,,,,13-Jul-06,4758,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2486190,2,391,,8223,,,,,,13-Jul-06,1783,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2486191,22,2236,,7257,,,,,,13-Jul-06,4758,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2486192,3,2235,,7258,,,,,,13-Jul-06,4758,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2486193,22,2236,,7259,,,,,,13-Jul-06,4758,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2486194,2,1866,,7260,,,,,,13-Jul-06,4758,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487190,22,,,10297,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487191,21,,,10298,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487192,22,,,10299,532,,,,,20-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487193,21,,,10300,532,,,,,17-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487194,22,2221,,10301,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487195,5,,,10302,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487196,3,,,10303,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487197,22,,,10304,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487198,2,,,10305,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2487199,22,2221,,10306,532,,,,,13-Jul-06,1715,13-Jul-06,13-Jul-13,
PURCHASE_ORDER_RECEIPTS,2488190,22,2228,,8090,,,,,,14-Jul-06,384,14-Jul-06,14-Jul-13,
PURCHASE_ORDER_RECEIPTS,2488191,1355,3219,,30253,839,,,,,14-Jul-06,10313,14-Jul-06,14-Jul-13,
PURCHASE_ORDER_RECEIPTS,2455186,147,2678,,4506,695,,,,,6-Jul-06,1851,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2455187,2,416,,9351,535,,,,,10-Jul-06,1313,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2457186,22,2546,,10557,211,,,,,5-Jul-06,53,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459187,22,2228,,8053,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459188,21,,,8054,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459189,22,2228,,8055,,,,,,14-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459190,21,,,8056,,,,,,14-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459191,22,2228,,8057,,,,,,11-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459192,3,2227,,8058,,,,,,11-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459193,2,2233,,8059,,,,,,11-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459194,22,2228,,8060,,,,,,11-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459195,147,2226,,10283,532,,,,,7-Jul-06,1715,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459196,147,2229,,8061,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459197,22,2228,,8062,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459198,5,2231,,8063,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459199,3,2227,,8064,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459200,21,2232,,8065,,,,,,7-Jul-06,384,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2459201,1353,3216,,30248,839,,,,,7-Jul-06,10339,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2460192,1,,,9353,535,,,,,7-Jul-06,5741,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2460193,537,1297,,9354,535,,,,,7-Jul-06,5741,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2460194,2,1866,,7239,,,,,,7-Jul-06,4758,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2460198,537,2679,,4511,695,,,,,7-Jul-06,1875,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2462189,415,1087,,8032,,,,,,7-Jul-06,31,7-Jul-06,7-Jul-13,
PURCHASE_ORDER_RECEIPTS,2465188,147,2229,,8066,,,,,,10-Jul-06,384,10-Jul-06,10-Jul-13,
PURCHASE_ORDER_RECEIPTS,2465191,5,2231,,8067,,,,,,10-Jul-06,384,10-Jul-06,10-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444185,2,1866,,7212,,,,,,4-Jul-06,4758,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444186,41,,,7213,,,,,,4-Jul-06,4758,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444187,334,2342,,7214,,,,,,4-Jul-06,4758,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444188,478,2343,,7215,,,,,,4-Jul-06,4758,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444200,1,2326,,8041,,,,,,4-Jul-06,384,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444201,334,2328,,8042,,,,,,4-Jul-06,384,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2444202,478,2327,,8043,,,,,,4-Jul-06,384,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2445192,1,,,9335,535,,,,,4-Jul-06,2079,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2445193,41,,,9336,535,,,,,4-Jul-06,5741,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2445194,334,801,,9337,535,,,,,4-Jul-06,1602,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2445195,478,1887,,9338,535,,,,,4-Jul-06,1602,4-Jul-06,4-Jul-13,
PURCHASE_ORDER_RECEIPTS,2450186,3,,,10267,532,,,,,6-Jul-06,1715,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2450187,21,,,10268,532,,,,,6-Jul-06,1715,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2450188,22,,,10269,532,,,,,6-Jul-06,1715,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2450189,21,,,10270,532,,,,,6-Jul-06,1715,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2450190,2,,,10271,532,,,,,6-Jul-06,1715,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2450191,22,2221,,10272,532,,,,,6-Jul-06,1715,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2451185,22,2228,,8044,,,,,,6-Jul-06,384,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2451186,21,,,8045,,,,,,6-Jul-06,384,6-Jul-06,6-Jul-13,
PURCHASE_ORDER_RECEIPTS,2451187,2,2233,,8046,,,,,,6-Jul-06,384,6-Jul-06,6-Jul-13,
