RECORD_TYPE:UOM_UNITS_OF_MEASURE,UOM_CODE,NAME,UOM_CLASS,IS_CLASS_BASE,DESCRIPTION,STANDARD_CONVERSION_RATE
UOM_UNITS_OF_MEASURE,FT2,Square foot,Area,Y,Square foot,1
UOM_UNITS_OF_MEASURE,GAL,Gallon,Fluid,Y,Gallon,1
UOM_UNITS_OF_MEASURE,FT,Foot,Length,Y,Foot,1
UOM_UNITS_OF_MEASURE,Box,Box,Package,Y,Box,1
UOM_UNITS_OF_MEASURE,Ea,Each,Quantity,Y,Each,1
UOM_UNITS_OF_MEASURE,FT3,Cubic foot,Volume,Y,Cubic foot,1
UOM_UNITS_OF_MEASURE,Lbs,Pounds,Weight,Y,Pounds,1
UOM_UNITS_OF_MEASURE,HR,Hour,Time,Y,Hour,1
UOM_UNITS_OF_MEASURE,A,Acre,Area,N,Acre,43560
UOM_UNITS_OF_MEASURE,IN2,Square inch,Area,N,Square inch,0.006944
UOM_UNITS_OF_MEASURE,KM2,Square kilometer,Area,N,Square kilometer,10752688
UOM_UNITS_OF_MEASURE,M2,Square meter,Area,N,Square meter,10.75
UOM_UNITS_OF_MEASURE,MI2,Square mile,Area,N,Square mile,27878400
UOM_UNITS_OF_MEASURE,YD2,Square yard,Area,N,Square yard,9
UOM_UNITS_OF_MEASURE,L,Liter,Fluid,N,Liter,0.2642
UOM_UNITS_OF_MEASURE,OZ,Ounce,Fluid,N,Ounce,0.0007813
UOM_UNITS_OF_MEASURE,PT,Pint,Fluid,N,Pint,0.0125
UOM_UNITS_OF_MEASURE,QT,Quart,Fluid,N,Quart,0.25
UOM_UNITS_OF_MEASURE,CM,Centimeter,Length,N,Centimeter,0.03281
UOM_UNITS_OF_MEASURE,IN,Inch,Length,N,Inch,0.08333
UOM_UNITS_OF_MEASURE,KM,Kilometer,Length,N,Kilometer,3281
UOM_UNITS_OF_MEASURE,M,Meter,Length,N,Meter,3.281
UOM_UNITS_OF_MEASURE,MI,Mile,Length,N,Mile,5280
UOM_UNITS_OF_MEASURE,YD,Yard,Length,N,Yard,3
UOM_UNITS_OF_MEASURE,B1H,Box of 100,Package,N,Box 100,100
UOM_UNITS_OF_MEASURE,B50,Box of 50,Package,N,Box of 50,50
UOM_UNITS_OF_MEASURE,DZ,Dozen,Quantity,N,Dozen,12
UOM_UNITS_OF_MEASURE,GRO,Gross,Quantity,N,Gross,144
UOM_UNITS_OF_MEASURE,DAY,Day,Time,N,Day,24
UOM_UNITS_OF_MEASURE,MTH,Month,Time,N,Month,720
UOM_UNITS_OF_MEASURE,WK,Week,Time,N,Week,168
UOM_UNITS_OF_MEASURE,YR,Year,Time,N,Year,8760
UOM_UNITS_OF_MEASURE,IN3,Cubic inch,Volume,N,Cubic inch,0.000578
UOM_UNITS_OF_MEASURE,M3,Cubic meter,Volume,N,Cubic meter,35.71
UOM_UNITS_OF_MEASURE,YD3,Cubic yard,Volume,N,Cubic yard,27
UOM_UNITS_OF_MEASURE,OZA,Avoirdupoids Ounce,Weight,N,Avoirdupoids Ounce,0.0625
UOM_UNITS_OF_MEASURE,G,Gram,Weight,N,Gram,0.002208
UOM_UNITS_OF_MEASURE,KG,Kilogram,Weight,N,Kilogram,2.2046225
UOM_UNITS_OF_MEASURE,TON,Ton,Weight,N,Ton,2000
UOM_UNITS_OF_MEASURE,V,Volts,Electrical,Y,Volts,1
UOM_UNITS_OF_MEASURE,W,Watts,Power,Y,Watts,1
UOM_UNITS_OF_MEASURE,AMP,Amperes,Current,Y,Amperes,1
UOM_UNITS_OF_MEASURE,OHM,Ohms,Resistance,Y,Ohms,1
UOM_UNITS_OF_MEASURE,MIN,Minute,Time,N,Minute,0.016667
UOM_UNITS_OF_MEASURE,USD,Dollars,Currency,Y,Dollars,1
UOM_UNITS_OF_MEASURE,LB,LB,MASS,Y,Pound (Process),1
UOM_UNITS_OF_MEASURE,ALB,ALB,ACTM,Y,Active LBS (Process),1
UOM_UNITS_OF_MEASURE,LBS,LBS,ACTM,N,Pounds Solids (Process),1
UOM_UNITS_OF_MEASURE,LBF,LBF,ACTM,N,Pounds Butterfat (Process),1
UOM_UNITS_OF_MEASURE,SFT,SFT,AREA,Y,Square Foot (Process),1
UOM_UNITS_OF_MEASURE,SIN,SIN,AREA,N,Square Inch (Process),0.006944444
UOM_UNITS_OF_MEASURE,SMT,SMT,AREA,N,Square Meter (Process),10.76399998
UOM_UNITS_OF_MEASURE,EA,EA,CNT,Y,Each (Process),1
UOM_UNITS_OF_MEASURE,CSE,CSE,CNT,N,Case (Process),1
UOM_UNITS_OF_MEASURE,BOX,BOX,CNT,N,Box (Process),1
UOM_UNITS_OF_MEASURE,DOZ,DOZ,CNT,N,Dozen (Process),12
UOM_UNITS_OF_MEASURE,DRM,DRM,DRM,Y,Drum (Process),1
UOM_UNITS_OF_MEASURE,BBL,BBL,DRM,N,Barrel (Process),1
UOM_UNITS_OF_MEASURE,FTP,FTP,LGTH,Y,Foot (Process),1
UOM_UNITS_OF_MEASURE,INP,INP,LGTH,N,Inch (Process),0.083333333
UOM_UNITS_OF_MEASURE,YDP,YDP,LGTH,N,Yard (Process),3
UOM_UNITS_OF_MEASURE,MTP,MTP,LGTH,N,Meter (Process),3.280829131
UOM_UNITS_OF_MEASURE,GM,GM,MASS,N,Gram (Process),0.002204624
UOM_UNITS_OF_MEASURE,KGM,KGM,MASS,N,Kilogram (Process),2.204623001
UOM_UNITS_OF_MEASURE,OUZ,OUZ,MASS,N,Ounce (Process),0.0625
UOM_UNITS_OF_MEASURE,PKG,PKG,PKG,Y,Package (Process),1
UOM_UNITS_OF_MEASURE,PLT,PLT,PLT,Y,Pallet (Process),1
UOM_UNITS_OF_MEASURE,HRS,HRS,TIME,Y,Hour (Process),1
UOM_UNITS_OF_MEASURE,MNS,MNS,TIME,N,Minute (Process),0.016666667
UOM_UNITS_OF_MEASURE,GL,GL,VOL,Y,Gallon (Process),1
UOM_UNITS_OF_MEASURE,LOZ,LOZ,VOL,N,Liquid Ounce (Process),0.0078125
UOM_UNITS_OF_MEASURE,LT,LT,VOL,N,Liter (Process),0.264172875
UOM_UNITS_OF_MEASURE,CFT,CFT,VOL3,Y,Cubic Feet (Process),1
UOM_UNITS_OF_MEASURE,CIN,CIN,VOL3,N,Cubic Inch (Process),0.000578704
