RECORD_TYPE:BUSINESS_STRUCTURES,BALANCING_SEGMENT_VALUE,COST_CENTER_SEGMENT_VALUE,STRUCTURE_CODE,DESCRIPTION
BUSINESS_STRUCTURES,1,420,01-420,Operations - Sales East
BUSINESS_STRUCTURES,1,422,01-422,Operations - Sales Mid-Atlantic
BUSINESS_STRUCTURES,1,421,01-421,Operations - Sales NorthEast
BUSINESS_STRUCTURES,1,520,01-520,"Operations - M1, Seattle Manufacturing Plant"
BUSINESS_STRUCTURES,1,410,01-410,Operations - International Sales
BUSINESS_STRUCTURES,1,450,01-450,Operations - Sales West
BUSINESS_STRUCTURES,1,810,01-810,Operations - HR and Administration Managment
BUSINESS_STRUCTURES,1,815,01-815,Operations - Health Care
BUSINESS_STRUCTURES,1,510,01-510,Operations - Vision Operations Inventory
BUSINESS_STRUCTURES,1,530,01-530,"Operations - M3, Dallas Manufacturing Plant 2"
BUSINESS_STRUCTURES,1,110,01-110,Operations - Facilities Resources
BUSINESS_STRUCTURES,1,740,01-740,Operations - Controllers Office
BUSINESS_STRUCTURES,1,540,01-540,Operations - Sub-Assembly Plant 1
BUSINESS_STRUCTURES,1,580,01-580,Operations - Maintenance
BUSINESS_STRUCTURES,70,0,70-000,Vision Construction - No Department
BUSINESS_STRUCTURES,1,750,01-750,Operations - Purchasing
BUSINESS_STRUCTURES,1,0,01-000,Operations - No Department
BUSINESS_STRUCTURES,1,440,01-440,Operations - Sales Central
BUSINESS_STRUCTURES,1,430,01-430,Operations - Sales South
BUSINESS_STRUCTURES,1,490,01-490,Operations - Marketing
BUSINESS_STRUCTURES,1,516,01-516,Operations - Phoenix inv.org. M6
BUSINESS_STRUCTURES,1,517,01-517,Operations - New Orleans inv.org. M7
BUSINESS_STRUCTURES,1,840,01-840,Operations - Facilities
