"RECORD_TYPE:ITEMS","ITEM_ID","ITEM_CODE","DESCRIPTION","STOCKABLE","SELLABLE","UOM_CODE","UOM_NAME","TARGET_PRICE","ITEM_STATUS","RESTRICT_SUPPLIERS","ITEM_TYPE","CATEGORY_ID","FROM_ROWNUMBER"
"ITEMS",63,"f80000","Sentinal Multimedia","Y","N","Ea","Each",37,"Active","N","Inventory Type",1,1
"ITEMS",69,"f10000","Capitalizable Services - Capitalizable non-taxable services","N","N","Ea","Each",1500,"Active","N","Purchased item",22,2
"ITEMS",71,"f11000","Desk - Capitalizable, taxable item","N","N","Ea","Each",2500,"Active","N","Purchased item",21,3
"ITEMS",73,"f12000","Mobile phone","N","N","Ea","Each",490,"Active","N","Purchased item",36,4
"ITEMS",75,"f20000","Paper - requires 2-way match office supply item","N","N","Ea","Each",50,"Active","N","Supply item",36,5
"ITEMS",77,"f30000","Leather Computer Case -  3-way match item","N","N","Ea","Each",250,"Active","N","Purchased item",1,6
"ITEMS",79,"f40000","Modem - Serial Control","Y","Y","Ea","Each",50,"Active","N","Purchased item",36,7
"ITEMS",81,"f50000","Poison - Lot Control and Hazard Class item","Y","N","Lbs","Pounds",15,"Active","N","Purchased item",37,8
"ITEMS",83,"f51000","Cleaning Chemicals - Lot Expiry and Lot Control","Y","N","Ea","Each",10,"Active","N","Purchased item",37,9
"ITEMS",87,"f60000","Router - Approved Supplier required item with 3-way match","N","N","Ea","Each",130,"Active","Y","Purchased item",1,10
"ITEMS",91,"f70000","Monitor - internally ordered, 3-way match item","N","N","Ea","Each",949,"Active","N","Inventory Type",30,11
"ITEMS",2600,"ASO0011","19 Inch Rack - Empty","Y","Y","Ea","Each",,"Active","N","Purchased item",1,12
"ITEMS",9200,"CM62133","Quad-Core 800x","Y","Y","Ea","Each",1905.4963,"Active","N","Purchased item",1,13
"ITEMS",9800,"IS40202","Controller Module (DRAM, Battery)","Y","Y","Ea","Each",607.5,"Active","N","Purchased item",1,14
"ITEMS",133,"SB68415","Chassis - Sentinel Multimedia","Y","Y","Ea","Each",788.86,"Active","N","Subassembly",114,15
"ITEMS",149,"AS54888","Sentinel Standard Desktop","Y","Y","Ea","Each",1107.86,"Active","N","Finished good",91,16
"ITEMS",151,"AS92689","Envoy Standard Laptop","Y","Y","Ea","Each",2935.834,"Active","N","Finished good",91,17
