RECORD_TYPE:INVOICE_ACCOUNTING,INVOICE_ACCOUNTING_ID,INVOICE_ID,INVOICE_LINE_NUMBER,ACCOUNTING_LINE_NUMBER,CHARGE_DATE,COA_ACCOUNT_ID,LINE_TYPE,CURRENCY_AMOUNT,EXCHANGE_RATE_DATE,EXCHANGE_RATE,CURRENCY_RATE_TYPE,AMOUNT,CANCEL_FLAG,BASE_IPV,EXCHANGE_RATE_VARIANCE,CURRENCY_IPV,QUANTITY_VARIANCE,BASE_QUANTITY_VARIANCE,AMOUNT_VARIANCE,BASE_AMOUNT_VARIANCE,DESCRIPTION,MATCHED_PO_ACCOUNTING_ID,MATCHED_RECEIPT_LINE_ID,IS_REVERSED,PARENT_REVERSAL_ID,CORRECTED_INVOICE_DIST_ID,CHARGE_APPLICABLE_TO_DIST_ID,CORRECTED_QUANTITY,PROJECT_ID
INVOICE_ACCOUNTING,615335,152927,1,1,5-Jul-13,13155,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615336,152927,2,1,5-Jul-13,13156,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615337,152927,3,1,5-Jul-13,13157,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615338,152927,4,1,5-Jul-13,13593,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615339,152927,5,1,5-Jul-13,13592,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615340,152927,6,1,5-Jul-13,13159,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615341,152927,7,1,5-Jul-13,13160,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615342,152927,8,1,5-Jul-13,82247,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615343,152927,9,1,5-Jul-13,13161,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615344,152927,10,1,5-Jul-13,13162,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615345,152927,11,1,5-Jul-13,13163,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615346,152927,12,1,5-Jul-13,13164,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615347,152927,13,1,5-Jul-13,13165,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615348,152927,14,1,5-Jul-13,13166,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615349,152927,15,1,5-Jul-13,13167,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615350,152927,16,1,5-Jul-13,13168,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615351,152927,17,1,5-Jul-13,13169,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615352,152927,18,1,5-Jul-13,13170,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615353,152927,19,1,5-Jul-13,13171,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615354,152927,20,1,5-Jul-13,13172,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615355,152927,21,1,5-Jul-13,82248,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615356,152927,22,1,5-Jul-13,99058,ITEM,1350.6,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615357,152927,23,1,5-Jul-13,82246,ITEM,900.4,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615358,152927,24,1,5-Jul-13,99056,ITEM,675.3,,,,,N,,,,,,,,,,,N,,,,,
INVOICE_ACCOUNTING,615359,152927,25,1,5-Jul-13,99057,ITEM,675.3,,,,,N,,,,,,,,,,,N,,,,,
