RECORD_TYPE:INVOICES,INVOICE_ID,CREATION_DATE,SUPPLIER_ID,SUPPLIER_SITE_ID,INVOICE_NUMBER,CANCEL_FLAG,DESCRIPTION,DOCUMENT_TYPE,PAY_TERMS,PAYMENT_TERMS_ID,PAYMENT_DUE_DATE,INVOICE_DATE,CURRENCY_CODE,EXCHANGE_RATE_DATE,EXCHANGE_RATE,CURRENCY_RATE_TYPE,INVOICE_CURRENCY_AMOUNT,PAY_CURRENCY_CODE,INVOICE_AMOUNT,CREATION_METHOD,INVOICE_TYPE,INVOICE_SUB_TYPE,APPROVAL_REQUIRED,PAYMENT_TYPE,PAY_GROUP,INVOICE_RECEIVED_DATE
INVOICES,152927,5-Jul-13,9,12,OSI070506,N,,,Immediate,10001,5-Jul-13,5-Jul-13,USD,,,,22510,USD,22510,EXTERNAL,STANDARD,EXTERNAL,N,EFT,STANDARD,
INVOICES,154112,14-Jul-13,557,1233,ERS-8038-117533,N,Receipt Invoice automatically created on 14-JUL-06,,45 Net (terms date + 45),10003,14-Jul-13,14-Jul-13,USD,,,,483,USD,483,ERS,STANDARD,ERS,N,EFT,STANDARD,14/07/13 0:00
INVOICES,153852,12-Jul-13,5,6,ERS-23293-117270,N,Receipt Invoice automatically created on 12-JUL-06,,2/10 NET 30,10014,12-Jul-13,12-Jul-13,USD,,,,1393.65,USD,1393.65,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153869,12-Jul-13,21,41,ERS-23310-117287,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,39120,USD,39120,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153839,12-Jul-13,147,259,ERS-23280-117257,N,Receipt Invoice automatically created on 12-JUL-06,,45 Net (terms date + 45),10003,12-Jul-13,12-Jul-13,USD,,,,160266.75,USD,160266.75,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153893,12-Jul-13,11,15,ERS-11754-117311,N,Receipt Invoice automatically created on 12-JUL-06,,2/10 Net 45,10007,12-Jul-13,12-Jul-13,USD,,,,53246.92,USD,53246.92,ERS,STANDARD,ERS,N,EFT,EDI,12/07/13 0:00
INVOICES,153894,12-Jul-13,147,259,ERS-11755-117312,N,Receipt Invoice automatically created on 12-JUL-06,,45 Net (terms date + 45),10003,12-Jul-13,12-Jul-13,USD,,,,904.32,USD,904.32,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153898,12-Jul-13,22,42,ERS-11759-117316,N,Receipt Invoice automatically created on 12-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,12-Jul-13,12-Jul-13,USD,,,,335.98,USD,335.98,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153929,12-Jul-13,5,6,ERS-11790-117347,N,Receipt Invoice automatically created on 12-JUL-06,,2/10 NET 30,10014,12-Jul-13,12-Jul-13,USD,,,,374.49,USD,374.49,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153949,12-Jul-13,21,41,ERS-11810-117367,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,13691.76,USD,13691.76,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153833,12-Jul-13,21,41,ERS-23276-117251,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,1225.5,USD,1225.5,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153858,12-Jul-13,147,259,ERS-23299-117276,N,Receipt Invoice automatically created on 12-JUL-06,,45 Net (terms date + 45),10003,12-Jul-13,12-Jul-13,USD,,,,552.25,USD,552.25,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153877,12-Jul-13,11,15,ERS-23318-117295,N,Receipt Invoice automatically created on 12-JUL-06,,2/10 Net 45,10007,12-Jul-13,12-Jul-13,USD,,,,171.15,USD,171.15,ERS,STANDARD,ERS,N,EFT,EDI,12/07/13 0:00
INVOICES,153916,12-Jul-13,22,42,ERS-11777-117334,N,Receipt Invoice automatically created on 12-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,12-Jul-13,12-Jul-13,USD,,,,1769.16,USD,1769.16,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153939,12-Jul-13,21,41,ERS-11800-117357,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,1008.9,USD,1008.9,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153900,12-Jul-13,22,42,ERS-11761-117318,N,Receipt Invoice automatically created on 12-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,12-Jul-13,12-Jul-13,USD,,,,6084.04,USD,6084.04,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153964,12-Jul-13,21,41,ERS-23338-117382,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,196293.3,USD,196293.3,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153946,12-Jul-13,21,41,ERS-11807-117364,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,71721.54,USD,71721.54,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,153818,12-Jul-13,1178,2854,21-Jun-06,N,,,2/10 NET 30,10014,21-Jun-13,21-Jun-13,USD,,,,2190,USD,2190,MANUAL INVOICE ENTRY,STANDARD,MANUAL INVOICE ENTRY,N,CHECK,STANDARD,
INVOICES,153934,12-Jul-13,21,41,ERS-11795-117352,N,Receipt Invoice automatically created on 12-JUL-06,,Immediate,10001,12-Jul-13,12-Jul-13,USD,,,,186798.15,USD,186798.15,ERS,STANDARD,ERS,N,CHECK,STANDARD,12/07/13 0:00
INVOICES,154204,17-Jul-13,557,1233,ERS-8039-117620,N,Receipt Invoice automatically created on 17-JUL-06,,45 Net (terms date + 45),10003,17-Jul-13,17-Jul-13,USD,,,,2982,USD,2982,ERS,STANDARD,ERS,N,EFT,STANDARD,17/07/13 0:00
INVOICES,154416,19-Jul-13,21,41,ERS-23419-117852,N,Receipt Invoice automatically created on 19-JUL-06,,Immediate,10001,19-Jul-13,19-Jul-13,USD,,,,118768.3,USD,118768.3,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154430,19-Jul-13,147,259,ERS-11850-117866,N,Receipt Invoice automatically created on 19-JUL-06,,45 Net (terms date + 45),10003,19-Jul-13,19-Jul-13,USD,,,,1410.2,USD,1410.2,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154342,19-Jul-13,22,42,ERS-11822-117778,N,Receipt Invoice automatically created on 19-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,19-Jul-13,19-Jul-13,USD,,,,7244.43,USD,7244.43,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154386,19-Jul-13,5,6,ERS-23389-117822,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 NET 30,10014,19-Jul-13,19-Jul-13,USD,,,,350.55,USD,350.55,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154348,19-Jul-13,5,6,ERS-11828-117784,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 NET 30,10014,19-Jul-13,19-Jul-13,USD,,,,8691.96,USD,8691.96,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154460,19-Jul-13,11,15,ERS-11873-117896,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 Net 45,10007,19-Jul-13,19-Jul-13,USD,,,,2909.2,USD,2909.2,ERS,STANDARD,ERS,N,EFT,EDI,19/07/13 0:00
INVOICES,154415,19-Jul-13,5,6,ERS-23418-117851,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 NET 30,10014,19-Jul-13,19-Jul-13,USD,,,,242.65,USD,242.65,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154451,19-Jul-13,1718,4081,ERS-19-JUL-06-117887,N,Receipt Invoice automatically created on 19-JUL-06,,45 Net (terms date + 45),10003,19-Jul-13,19-Jul-13,USD,,,,185738.55,USD,185738.55,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154452,19-Jul-13,1718,4081,ERS-19-JUL-06-117888,N,Receipt Invoice automatically created on 19-JUL-06,,45 Net (terms date + 45),10003,19-Jul-13,19-Jul-13,USD,,,,299625,USD,299625,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154324,19-Jul-13,11,15,ERS-23351-117760,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 Net 45,10007,19-Jul-13,19-Jul-13,USD,,,,219.45,USD,219.45,ERS,STANDARD,ERS,N,EFT,EDI,19/07/13 0:00
INVOICES,154332,19-Jul-13,5,6,ERS-23359-117768,N,Receipt Invoice automatically created on 19-JUL-06,,2/10 NET 30,10014,19-Jul-13,19-Jul-13,USD,,,,425,USD,425,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154376,19-Jul-13,22,42,ERS-23379-117812,N,Receipt Invoice automatically created on 19-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,19-Jul-13,19-Jul-13,USD,,,,2013.4,USD,2013.4,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154336,19-Jul-13,147,259,ERS-11816-117772,N,Receipt Invoice automatically created on 19-JUL-06,,45 Net (terms date + 45),10003,19-Jul-13,19-Jul-13,USD,,,,2666.56,USD,2666.56,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154378,19-Jul-13,22,42,ERS-23381-117814,N,Receipt Invoice automatically created on 19-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,19-Jul-13,19-Jul-13,USD,,,,213.7,USD,213.7,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154380,19-Jul-13,22,42,ERS-23383-117816,N,Receipt Invoice automatically created on 19-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,19-Jul-13,19-Jul-13,USD,,,,299.1,USD,299.1,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,154381,19-Jul-13,22,42,ERS-23384-117817,N,Receipt Invoice automatically created on 19-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,19-Jul-13,19-Jul-13,USD,,,,6131.55,USD,6131.55,ERS,STANDARD,ERS,N,CHECK,STANDARD,19/07/13 0:00
INVOICES,155108,27-Jul-13,22,42,ERS-11947-118554,N,Receipt Invoice automatically created on 27-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,27-Jul-13,27-Jul-13,USD,,,,4422.9,USD,4422.9,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155114,27-Jul-13,22,42,ERS-11953-118560,N,Receipt Invoice automatically created on 27-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,27-Jul-13,27-Jul-13,USD,,,,22358.08,USD,22358.08,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155140,27-Jul-13,1718,4081,ERS-27-JUL-06-118586,N,Receipt Invoice automatically created on 27-JUL-06,,45 Net (terms date + 45),10003,27-Jul-13,27-Jul-13,USD,,,,315562.5,USD,315562.5,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155152,27-Jul-13,21,41,ERS-23481-118599,N,Receipt Invoice automatically created on 27-JUL-06,,Immediate,10001,27-Jul-13,27-Jul-13,USD,,,,2780.5,USD,2780.5,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155155,27-Jul-13,11,15,ERS-23482-118601,N,Receipt Invoice automatically created on 27-JUL-06,,2/10 Net 45,10007,27-Jul-13,27-Jul-13,USD,,,,348.6,USD,348.6,ERS,STANDARD,ERS,N,EFT,EDI,27/07/13 0:00
INVOICES,155151,27-Jul-13,11,15,ERS-23480-118597,N,Receipt Invoice automatically created on 27-JUL-06,,2/10 Net 45,10007,27-Jul-13,27-Jul-13,USD,,,,87.15,USD,87.15,ERS,STANDARD,ERS,N,EFT,EDI,27/07/13 0:00
INVOICES,155000,27-Jul-13,147,259,ERS-23439-118446,N,Receipt Invoice automatically created on 27-JUL-06,,45 Net (terms date + 45),10003,27-Jul-13,27-Jul-13,USD,,,,91052.5,USD,91052.5,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155009,27-Jul-13,21,41,ERS-11881-118455,N,Receipt Invoice automatically created on 27-JUL-06,,Immediate,10001,27-Jul-13,27-Jul-13,USD,,,,111799.12,USD,111799.12,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155042,27-Jul-13,5,6,ERS-11914-118488,N,Receipt Invoice automatically created on 27-JUL-06,,2/10 NET 30,10014,27-Jul-13,27-Jul-13,USD,,,,418.95,USD,418.95,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155048,27-Jul-13,21,41,ERS-23447-118494,N,Receipt Invoice automatically created on 27-JUL-06,,Immediate,10001,27-Jul-13,27-Jul-13,USD,,,,1072,USD,1072,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155117,27-Jul-13,22,42,ERS-11956-118563,N,Receipt Invoice automatically created on 27-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,27-Jul-13,27-Jul-13,USD,,,,1346.31,USD,1346.31,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155120,27-Jul-13,22,42,ERS-11959-118566,N,Receipt Invoice automatically created on 27-JUL-06,,"4/10, 3/20, 2/30 Net  60",10009,27-Jul-13,27-Jul-13,USD,,,,3230.28,USD,3230.28,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155040,27-Jul-13,5,6,ERS-11912-118486,N,Receipt Invoice automatically created on 27-JUL-06,,2/10 NET 30,10014,27-Jul-13,27-Jul-13,USD,,,,33537.12,USD,33537.12,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,154855,25-Jul-13,6,7,CMATT0706,N,,,30 Net (terms date + 30),10002,25-Jul-13,25-Jul-13,USD,,,,-5191,USD,-5191,EXTERNAL,CREDIT,EXTERNAL,N,CHECK,STANDARD,
INVOICES,155095,27-Jul-13,11,15,ERS-11934-118541,N,Receipt Invoice automatically created on 27-JUL-06,,2/10 Net 45,10007,27-Jul-13,27-Jul-13,USD,,,,31880.31,USD,31880.31,ERS,STANDARD,ERS,N,EFT,EDI,27/07/13 0:00
INVOICES,155104,27-Jul-13,147,259,ERS-11943-118550,N,Receipt Invoice automatically created on 27-JUL-06,,45 Net (terms date + 45),10003,27-Jul-13,27-Jul-13,USD,,,,1615.32,USD,1615.32,ERS,STANDARD,ERS,N,CHECK,STANDARD,27/07/13 0:00
INVOICES,155764,7-Aug-13,209,330,BMI080506,N,,,Immediate,10001,5-Aug-13,5-Aug-13,USD,,,,117840,USD,117840,EXTERNAL,STANDARD,EXTERNAL,N,CHECK,STANDARD,
INVOICES,156159,10-Aug-13,5,6,ERS-12021-119485,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 NET 30,10014,10-Aug-13,10-Aug-13,USD,,,,158.97,USD,158.97,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156054,10-Aug-13,557,1233,ERS-8052-119380,N,Receipt Invoice automatically created on 10-AUG-06,,45 Net (terms date + 45),10003,10-Aug-13,10-Aug-13,USD,,,,390000,USD,390000,ERS,STANDARD,ERS,N,EFT,STANDARD,10/08/13 0:00
INVOICES,156163,10-Aug-13,21,41,ERS-12025-119489,N,Receipt Invoice automatically created on 10-AUG-06,,Immediate,10001,10-Aug-13,10-Aug-13,USD,,,,151217.55,USD,151217.55,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156167,10-Aug-13,147,259,ERS-23531-119493,N,Receipt Invoice automatically created on 10-AUG-06,,45 Net (terms date + 45),10003,10-Aug-13,10-Aug-13,USD,,,,288,USD,288,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156077,10-Aug-13,147,259,ERS-11982-119403,N,Receipt Invoice automatically created on 10-AUG-06,,45 Net (terms date + 45),10003,10-Aug-13,10-Aug-13,USD,,,,39976.65,USD,39976.65,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156095,10-Aug-13,5,6,ERS-23505-119421,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 NET 30,10014,10-Aug-13,10-Aug-13,USD,,,,436.05,USD,436.05,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156103,10-Aug-13,1718,4081,ERS-10-AUG-06-119429,N,Receipt Invoice automatically created on 10-AUG-06,,45 Net (terms date + 45),10003,10-Aug-13,10-Aug-13,USD,,,,31875,USD,31875,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156177,10-Aug-13,11,15,ERS-23536-119503,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 Net 45,10007,10-Aug-13,10-Aug-13,USD,,,,51950,USD,51950,ERS,STANDARD,ERS,N,EFT,EDI,10/08/13 0:00
INVOICES,156157,10-Aug-13,22,42,ERS-12019-119483,N,Receipt Invoice automatically created on 10-AUG-06,,"4/10, 3/20, 2/30 Net  60",10009,10-Aug-13,10-Aug-13,USD,,,,209.37,USD,209.37,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156118,10-Aug-13,11,15,ERS-11987-119444,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 Net 45,10007,10-Aug-13,10-Aug-13,USD,,,,3572.58,USD,3572.58,ERS,STANDARD,ERS,N,EFT,EDI,10/08/13 0:00
INVOICES,156108,10-Aug-13,11,15,ERS-23518-119434,N,Receipt Invoice automatically created on 10-AUG-06,,2/10 Net 45,10007,10-Aug-13,10-Aug-13,USD,,,,53.55,USD,53.55,ERS,STANDARD,ERS,N,EFT,EDI,10/08/13 0:00
INVOICES,156116,10-Aug-13,21,41,ERS-11985-119442,N,Receipt Invoice automatically created on 10-AUG-06,,Immediate,10001,10-Aug-13,10-Aug-13,USD,,,,570.68,USD,570.68,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156120,10-Aug-13,147,259,ERS-11989-119446,N,Receipt Invoice automatically created on 10-AUG-06,,45 Net (terms date + 45),10003,10-Aug-13,10-Aug-13,USD,,,,375.98,USD,375.98,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
INVOICES,156122,10-Aug-13,22,42,ERS-11991-119448,N,Receipt Invoice automatically created on 10-AUG-06,,"4/10, 3/20, 2/30 Net  60",10009,10-Aug-13,10-Aug-13,USD,,,,2012.74,USD,2012.74,ERS,STANDARD,ERS,N,CHECK,STANDARD,10/08/13 0:00
