RECORD_TYPE:PURCHASE_ORDERS,PO_ID,PO_NUMBER,LATEST_REVISION,CANCEL_FLAG,PERSON_ID,SUPPLIER_ID,SUPPLIER_SITE_ID,GEOGRAPHY_ID,CURRENCY_CODE,CURRENCY_RATE_TYPE,CURRENCY_EXCHANGE_DATE,CURRENCY_EXCHANGE_RATE,CREATION_DATE,ORIG_APPROVAL_SUBMIT_DATE,ORIG_APPROVED_DATE,LATEST_APPROVED_DATE,TRANSMISSION_METHOD,PAY_ON_CODE,CREATION_METHOD,PAY_TERMS,PAYMENT_TERMS_ID
PURCHASE_ORDERS,77588,5303,0,N,25,145,255,207,USD,,6-Jun-13,,6-Jun-13,6/06/13 10:48,6/06/13 10:49,6/06/13 10:49,MANUAL,RECEIPT,MANUAL,45 Net (terms date + 45),10003
PURCHASE_ORDERS,79714,5341,0,N,57,21,41,1997,USD,,10-Jul-13,,10-Jul-13,10/07/13 20:51,10/07/13 20:51,10/07/13 20:51,MANUAL,RECEIPT,MANUAL,2/10 NET 30,10014
PURCHASE_ORDERS,80134,5347,0,N,57,21,1969,207,USD,,17-Jul-13,,17-Jul-13,17/07/13 11:33,17/07/13 11:33,17/07/13 11:33,MANUAL,,MANUAL,Immediate,10001
PURCHASE_ORDERS,80266,5349,0,N,31,5,2034,204,USD,,,,20-Jul-13,20/07/13 2:03,20/07/13 2:03,20/07/13 2:03,MANUAL,RECEIPT,WORKFLOW,15 Net (terms date + 15),10013
PURCHASE_ORDERS,80566,5351,0,N,31,578,1275,204,USD,,,,26-Jul-13,26/07/13 2:03,26/07/13 2:03,26/07/13 2:03,MANUAL,RECEIPT,WORKFLOW,45 Net (terms date + 45),10003
PURCHASE_ORDERS,80116,5346,0,N,25,557,1233,204,USD,,,,17-Jul-13,17/07/13 2:04,17/07/13 2:04,17/07/13 2:04,MANUAL,RECEIPT,API,45 Net (terms date + 45),10003
PURCHASE_ORDERS,79875,5344,0,N,25,9,5972,204,USD,,12-Jul-13,,12-Jul-13,12/07/13 5:29,12/07/13 5:29,12/07/13 5:29,MANUAL,,MANUAL,30 Net (terms date + 30),10002
PURCHASE_ORDERS,80709,5354,0,N,13476,9,12,207,USD,,1-Aug-13,,1-Aug-13,1/08/13 15:46,1/08/13 15:46,1/08/13 15:46,MANUAL,RECEIPT,MANUAL,30 Net (terms date + 30),10002
PURCHASE_ORDERS,79665,5335,0,N,25,557,1233,204,USD,,,,10-Jul-13,10/07/13 2:06,10/07/13 2:06,10/07/13 2:06,B2B,RECEIPT,WORKFLOW,45 Net (terms date + 45),10003
PURCHASE_ORDERS,79456,5331,0,N,25,557,1233,204,USD,,,,6-Jul-13,6/07/13 11:42,6/07/13 11:42,6/07/13 11:42,MANUAL,RECEIPT,API,45 Net (terms date + 45),10003
