RECORD_TYPE:PURCHASE_ORDERS,PO_BLANKET_ID,PO_RELEASE_ID,PO_NUMBER,LATEST_REVISION,CANCEL_FLAG,PERSON_ID,SUPPLIER_ID,SUPPLIER_SITE_ID,GEOGRAPHY_ID,CURRENCY_CODE,CURRENCY_RATE_TYPE,CURRENCY_EXCHANGE_DATE,CURRENCY_EXCHANGE_RATE,CREATION_DATE,ORIG_APPROVAL_SUBMIT_DATE,ORIG_APPROVED_DATE,LATEST_APPROVED_DATE,TRANSMISSION_METHOD,PAY_ON_CODE,CREATION_METHOD,PAY_TERMS
PURCHASE_ORDERS,3595,5931,809-2,0,N,57,21,41,207,USD,,,,6-Jun-09,6/06/09 6:49,6/06/09 6:49,6/06/09 6:49,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6015,809-3,0,N,57,21,41,207,USD,,,,7-Jun-09,7/06/09 6:14,7/06/09 6:14,7/06/09 6:14,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6758,809-9,0,N,57,21,41,207,USD,,,,21-Jun-09,21/06/09 6:55,21/06/09 6:55,21/06/09 6:55,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,5817,809-1,0,N,57,21,41,207,USD,,,,5-Jun-09,5/06/09 10:50,5/06/09 10:50,5/06/09 10:50,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6557,809-6,0,N,57,21,41,207,USD,,,,18-Jun-09,18/06/09 7:44,18/06/09 7:44,18/06/09 7:44,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6590,809-7,0,N,57,21,41,207,USD,,,,18-Jun-09,18/06/09 8:00,18/06/09 8:00,18/06/09 8:00,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6640,809-8,0,N,57,21,41,207,USD,,,,19-Jun-09,19/06/09 5:49,19/06/09 5:49,19/06/09 5:49,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,7082,809-11,0,N,57,21,41,207,USD,,,,2-Jul-09,2/07/09 6:49,2/07/09 6:49,2/07/09 6:49,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6336,809-4,0,N,57,21,41,207,USD,,,,13-Jun-09,13/06/09 5:23,13/06/09 5:23,13/06/09 5:23,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6446,809-5,0,N,57,21,41,207,USD,,,,14-Jun-09,14/06/09 5:25,14/06/09 5:25,14/06/09 5:25,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,6884,809-10,0,N,57,21,41,207,USD,,,,27-Jun-09,27/06/09 13:08,27/06/09 13:08,27/06/09 13:08,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,7123,809-12,0,N,57,21,41,207,USD,,,,3-Jul-09,3/07/09 7:45,3/07/09 7:45,3/07/09 7:45,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8260,809-14,0,N,57,21,41,207,USD,,,,30-Jul-09,30/07/09 8:47,30/07/09 8:47,30/07/09 8:47,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8426,809-15,0,N,57,21,41,207,USD,,,,1-Aug-09,1/08/09 5:15,1/08/09 5:15,1/08/09 5:15,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8824,809-19,0,N,57,21,41,207,USD,,,,8-Aug-09,8/08/09 6:09,8/08/09 6:09,8/08/09 6:09,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8223,809-13,0,N,57,21,41,207,USD,,,,30-Jul-09,30/07/09 6:11,30/07/09 6:11,30/07/09 6:11,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8518,809-16,0,N,57,21,41,207,USD,,,,2-Aug-09,2/08/09 8:07,2/08/09 8:07,2/08/09 8:07,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8687,809-17,0,N,57,21,41,207,USD,,,,6-Aug-09,6/08/09 5:06,6/08/09 5:06,6/08/09 5:06,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,8765,809-18,0,N,57,21,41,207,USD,,,,7-Aug-09,7/08/09 5:43,7/08/09 5:43,7/08/09 5:43,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9785,809-23,1,N,57,21,41,207,USD,,,,10-Sep-09,10/09/09 2:56,10/09/09 2:56,10/09/09 2:56,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9626,809-21,1,N,57,21,41,207,USD,,,,5-Sep-09,5/09/09 6:10,5/09/09 6:10,5/09/09 6:10,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9710,809-22,2,N,57,21,41,207,USD,,,,6-Sep-09,6/09/09 6:01,6/09/09 6:01,6/09/09 6:01,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9913,809-25,1,N,57,21,41,207,USD,,,,12-Sep-09,12/09/09 15:16,12/09/09 15:16,12/09/09 15:16,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9549,809-20,0,N,57,21,41,207,USD,,,,4-Sep-09,4/09/09 8:49,4/09/09 8:49,4/09/09 8:49,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9844,809-24,1,N,57,21,41,207,USD,,,,11-Sep-09,11/09/09 10:11,11/09/09 10:11,11/09/09 10:11,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,9974,809-26,1,N,57,21,41,207,USD,,,,13-Sep-09,13/09/09 1:22,13/09/09 1:22,13/09/09 1:22,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10475,809-27,0,N,57,21,41,207,USD,,,,2-Oct-09,2/10/09 6:20,2/10/09 6:20,2/10/09 6:20,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10803,809-31,0,N,57,21,41,207,USD,,,,4-Oct-09,4/10/09 6:45,4/10/09 6:45,4/10/09 6:45,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10886,809-32,1,N,57,21,41,207,USD,,,,7-Oct-09,7/10/09 6:21,7/10/09 6:21,7/10/09 6:21,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10641,809-29,0,N,57,21,41,207,USD,,,,3-Oct-09,3/10/09 7:16,3/10/09 7:16,3/10/09 7:16,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10699,809-30,0,N,57,21,41,207,USD,,,,3-Oct-09,3/10/09 9:26,3/10/09 9:26,3/10/09 9:26,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10543,809-28,0,N,57,21,41,207,USD,,,,2-Oct-09,2/10/09 7:58,2/10/09 7:58,2/10/09 7:58,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11365,809-37,0,N,57,21,41,207,USD,,,,16-Oct-09,16/10/09 6:04,16/10/09 6:04,16/10/09 6:04,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11071,809-34,1,N,57,21,41,207,USD,,,,9-Oct-09,9/10/09 8:10,9/10/09 8:10,9/10/09 8:10,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11251,809-36,0,N,57,21,41,207,USD,,,,15-Oct-09,15/10/09 6:49,15/10/09 6:49,15/10/09 6:49,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11644,809-40,0,N,57,21,41,207,USD,,,,23-Oct-09,23/10/09 9:53,23/10/09 9:53,23/10/09 9:53,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,10957,809-33,1,N,57,21,41,207,USD,,,,8-Oct-09,8/10/09 6:58,8/10/09 6:58,8/10/09 6:58,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11127,809-35,0,N,57,21,41,207,USD,,,,14-Oct-09,14/10/09 6:56,14/10/09 6:56,14/10/09 6:56,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11929,809-43,0,N,57,21,41,207,USD,,,,28-Oct-09,28/10/09 6:39,28/10/09 6:39,28/10/09 6:39,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11429,809-38,0,N,57,21,41,207,USD,,,,17-Oct-09,17/10/09 6:16,17/10/09 6:16,17/10/09 6:16,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11517,809-39,0,N,57,21,41,207,USD,,,,18-Oct-09,18/10/09 5:43,18/10/09 5:43,18/10/09 5:43,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12109,809-45,0,N,57,21,41,207,USD,,,,30-Oct-09,30/10/09 7:29,30/10/09 7:29,30/10/09 7:29,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12372,809-49,0,N,57,21,41,207,USD,,,,4-Nov-09,4/11/09 7:46,4/11/09 7:46,4/11/09 7:46,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12183,809-46,0,N,57,21,41,207,USD,,,,30-Oct-09,30/10/09 10:26,30/10/09 10:26,30/10/09 10:26,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12293,809-48,0,N,57,21,41,207,USD,,,,1-Nov-09,1/11/09 5:57,1/11/09 5:57,1/11/09 5:57,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12562,809-51,1,N,57,21,41,207,USD,,,,6-Nov-09,6/11/09 5:51,6/11/09 5:51,6/11/09 5:51,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11738,809-41,0,N,57,21,41,207,USD,,,,24-Oct-09,24/10/09 7:07,24/10/09 7:07,24/10/09 7:07,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,11835,809-42,0,N,57,21,41,207,USD,,,,25-Oct-09,25/10/09 6:36,25/10/09 6:36,25/10/09 6:36,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12234,809-47,0,N,57,21,41,207,USD,,,,31-Oct-09,31/10/09 7:00,31/10/09 7:00,31/10/09 7:00,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12473,809-50,0,N,57,21,41,207,USD,,,,5-Nov-09,5/11/09 6:10,5/11/09 6:10,5/11/09 6:10,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12774,809-52,2,N,57,21,41,207,USD,,,,8-Nov-09,8/11/09 5:18,8/11/09 5:18,8/11/09 5:18,MANUAL,,MANUAL,Immediate
PURCHASE_ORDERS,3595,12007,809-44,0,N,57,21,41,207,USD,,,,29-Oct-09,29/10/09 7:20,29/10/09 7:20,29/10/09 7:20,MANUAL,,MANUAL,Immediate
