RT:SUPPLIER_CLASSIFICATIONS,SUPPLIER_ID,CLASSIFICATION,IS_ACTIVE,FROM_ROWNUMBER
SUPPLIER_CLASSIFICATIONS,9,ONE-TIME-SUPPLIER,TRUE,1
SUPPLIER_CLASSIFICATIONS,147,TAKE-DISCOUNT,TRUE,2
SUPPLIER_CLASSIFICATIONS,12,TAKE-DISCOUNT,TRUE,3
SUPPLIER_CLASSIFICATIONS,334,TAKE-DISCOUNT,TRUE,4
SUPPLIER_CLASSIFICATIONS,640,TAKE-DISCOUNT,TRUE,5
SUPPLIER_CLASSIFICATIONS,743,TAKE-DISCOUNT,TRUE,6
SUPPLIER_CLASSIFICATIONS,12129,TAKE-DISCOUNT,TRUE,7
SUPPLIER_CLASSIFICATIONS,950,TAKE-DISCOUNT,TRUE,8
SUPPLIER_CLASSIFICATIONS,1158,TAKE-DISCOUNT,TRUE,9
SUPPLIER_CLASSIFICATIONS,1159,TAKE-DISCOUNT,TRUE,10
SUPPLIER_CLASSIFICATIONS,1442,TAKE-DISCOUNT,TRUE,11
SUPPLIER_CLASSIFICATIONS,1438,TAKE-DISCOUNT,TRUE,12
SUPPLIER_CLASSIFICATIONS,1781,TAKE-DISCOUNT,TRUE,13
SUPPLIER_CLASSIFICATIONS,4127,TAKE-DISCOUNT,TRUE,14
SUPPLIER_CLASSIFICATIONS,495,TAKE-DISCOUNT,TRUE,15
SUPPLIER_CLASSIFICATIONS,3,TAKE-DISCOUNT,TRUE,16
SUPPLIER_CLASSIFICATIONS,209,TAKE-DISCOUNT,TRUE,17
SUPPLIER_CLASSIFICATIONS,295,TAKE-DISCOUNT,TRUE,18
SUPPLIER_CLASSIFICATIONS,2087,TAKE-DISCOUNT,TRUE,19
SUPPLIER_CLASSIFICATIONS,12128,TAKE-DISCOUNT,TRUE,20
SUPPLIER_CLASSIFICATIONS,12132,TAKE-DISCOUNT,TRUE,21
SUPPLIER_CLASSIFICATIONS,622,TAKE-DISCOUNT,TRUE,22
SUPPLIER_CLASSIFICATIONS,803,TAKE-DISCOUNT,TRUE,23
SUPPLIER_CLASSIFICATIONS,949,TAKE-DISCOUNT,TRUE,24
SUPPLIER_CLASSIFICATIONS,1440,TAKE-DISCOUNT,TRUE,25
SUPPLIER_CLASSIFICATIONS,1441,TAKE-DISCOUNT,TRUE,26
SUPPLIER_CLASSIFICATIONS,1782,TAKE-DISCOUNT,TRUE,27
SUPPLIER_CLASSIFICATIONS,1436,TAKE-DISCOUNT,TRUE,28
SUPPLIER_CLASSIFICATIONS,1437,TAKE-DISCOUNT,TRUE,29
SUPPLIER_CLASSIFICATIONS,1921,TAKE-DISCOUNT,TRUE,30
SUPPLIER_CLASSIFICATIONS,1696,TAKE-DISCOUNT,TRUE,31
SUPPLIER_CLASSIFICATIONS,2041,TAKE-DISCOUNT,TRUE,32
SUPPLIER_CLASSIFICATIONS,559,TAKE-DISCOUNT,TRUE,33
SUPPLIER_CLASSIFICATIONS,579,TAKE-DISCOUNT,TRUE,34
SUPPLIER_CLASSIFICATIONS,294,TAKE-DISCOUNT,TRUE,35
SUPPLIER_CLASSIFICATIONS,2086,TAKE-DISCOUNT,TRUE,36
SUPPLIER_CLASSIFICATIONS,600,TAKE-DISCOUNT,TRUE,37
SUPPLIER_CLASSIFICATIONS,660,TAKE-DISCOUNT,TRUE,38
SUPPLIER_CLASSIFICATIONS,3127,TAKE-DISCOUNT,TRUE,39
SUPPLIER_CLASSIFICATIONS,415,TAKE-DISCOUNT,TRUE,40
SUPPLIER_CLASSIFICATIONS,12127,TAKE-DISCOUNT,TRUE,41
SUPPLIER_CLASSIFICATIONS,12131,TAKE-DISCOUNT,TRUE,42
SUPPLIER_CLASSIFICATIONS,621,TAKE-DISCOUNT,TRUE,43
SUPPLIER_CLASSIFICATIONS,537,TAKE-DISCOUNT,TRUE,44
SUPPLIER_CLASSIFICATIONS,558,TAKE-DISCOUNT,TRUE,45
SUPPLIER_CLASSIFICATIONS,578,TAKE-DISCOUNT,TRUE,46
SUPPLIER_CLASSIFICATIONS,1981,TAKE-DISCOUNT,TRUE,47
SUPPLIER_CLASSIFICATIONS,145,TAKE-DISCOUNT,TRUE,48
SUPPLIER_CLASSIFICATIONS,230,TAKE-DISCOUNT,TRUE,49
SUPPLIER_CLASSIFICATIONS,2085,TAKE-DISCOUNT,TRUE,50
SUPPLIER_CLASSIFICATIONS,335,TAKE-DISCOUNT,TRUE,51
SUPPLIER_CLASSIFICATIONS,21,TAKE-DISCOUNT,TRUE,52
SUPPLIER_CLASSIFICATIONS,22,TAKE-DISCOUNT,TRUE,53
SUPPLIER_CLASSIFICATIONS,12130,TAKE-DISCOUNT,TRUE,54
SUPPLIER_CLASSIFICATIONS,601,TAKE-DISCOUNT,TRUE,55
SUPPLIER_CLASSIFICATIONS,620,TAKE-DISCOUNT,TRUE,56
SUPPLIER_CLASSIFICATIONS,641,TAKE-DISCOUNT,TRUE,57
SUPPLIER_CLASSIFICATIONS,1160,TAKE-DISCOUNT,TRUE,58
SUPPLIER_CLASSIFICATIONS,1443,TAKE-DISCOUNT,TRUE,59
SUPPLIER_CLASSIFICATIONS,1435,TAKE-DISCOUNT,TRUE,60
SUPPLIER_CLASSIFICATIONS,1439,TAKE-DISCOUNT,TRUE,61
SUPPLIER_CLASSIFICATIONS,1676,TAKE-DISCOUNT,TRUE,62
SUPPLIER_CLASSIFICATIONS,4128,TAKE-DISCOUNT,TRUE,63
SUPPLIER_CLASSIFICATIONS,476,TAKE-DISCOUNT,TRUE,64
SUPPLIER_CLASSIFICATIONS,557,TAKE-DISCOUNT,TRUE,65
SUPPLIER_CLASSIFICATIONS,517,TAKE-DISCOUNT,TRUE,66
